trade_date,ticker,industry_sw,baseline_score_b,variant_score_b,score_delta,tags,manual_verdict,manual_notes
20260323,300724,电力设备,0.3522,0.4284,0.0762,neutral_mean_reversion_active;trend_fundamental_dual_leg,,
20260324,600988,有色金属,0.3786,0.4604,0.0818,neutral_mean_reversion_active;trend_fundamental_dual_leg,,
20260325,300394,通信,0.3797,0.4619,0.0822,neutral_mean_reversion_active;trend_fundamental_dual_leg;event_sentiment_missing,,
20260326,300394,通信,0.3795,0.4615,0.0820,neutral_mean_reversion_active;trend_fundamental_dual_leg;event_sentiment_missing,,
20260326,300724,电力设备,0.3478,0.4230,0.0752,neutral_mean_reversion_active;trend_fundamental_dual_leg,,
