ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
801750.SI,20260707,4356.869,4440.46,4473.54,4337.66,4464.74,-107.871,-2.4161,48505162.38,110477823.711
801750.SI,20260706,4464.74,4526.301,4526.301,4397.52,4511.274,-46.534,-1.0315,54304022.14,129106295.042
801750.SI,20260703,4511.274,4506.602,4561.02,4499.849,4498.59,12.684,0.282,53889225.16,126495874.089
801750.SI,20260702,4498.59,4595.143,4641.86,4494.53,4627.698,-129.108,-2.7899,67629638.61,153279999.441
801750.SI,20260701,4627.698,4577.185,4687.04,4577.185,4563.537,64.161,1.4059,71142658.87,174882715.916
801750.SI,20260630,4563.537,4413.646,4569.35,4407.53,4408.933,154.604,3.5066,57701124.76,145902292.715
801750.SI,20260629,4408.933,4427.79,4463.43,4350.79,4423.585,-14.652,-0.3312,56888099.09,133285006.765
801750.SI,20260626,4423.585,4589.218,4589.242,4423.585,4623.898,-200.313,-4.3321,64993300.98,156927008.689
801750.SI,20260625,4623.898,4654.34,4677.29,4577.13,4655.131,-31.233,-0.6709,68221059.53,169366057.532
801750.SI,20260624,4655.131,4637.726,4658.2,4554.99,4659.631,-4.5,-0.0966,66606991.56,149083943.684
801750.SI,20260623,4659.631,4722.424,4772.94,4639.87,4752.498,-92.867,-1.9541,66917803.98,154752805.407
801750.SI,20260622,4752.498,4645.961,4753.45,4554.03,4655.112,97.386,2.092,78246019.32,178321629.286
801750.SI,20260618,4655.112,4609.437,4684.259,4583.357,4623.912,31.2,0.6748,60296141.14,136854976.181
801750.SI,20260617,4623.912,4578.187,4636.06,4575.4,4610.013,13.899,0.3015,58663127.63,126795784.517
801750.SI,20260616,4610.013,4570.084,4615.85,4527.01,4578.059,31.954,0.698,59289379.54,123153667.578
801750.SI,20260615,4578.059,4479.644,4582.37,4479.598,4445.848,132.211,2.9738,60595770.07,129248468.375
801750.SI,20260612,4445.848,4453.983,4501.7,4425.6,4393.22,52.628,1.1979,62830344.69,130501853.909
801750.SI,20260611,4393.22,4488.388,4488.39,4362.43,4535.625,-142.405,-3.1397,53604065.92,111807977.96
801750.SI,20260610,4535.625,4578.816,4654.9,4496.83,4616.808,-81.183,-1.7584,63411133.31,131961153.995
801750.SI,20260609,4616.808,4582.05,4616.808,4532.64,4538.342,78.466,1.729,58642513.57,117655223.416
801750.SI,20260608,4538.342,4535.975,4639.09,4487.17,4674.128,-135.786,-2.9051,60397892.95,127727857.963
801750.SI,20260605,4674.128,4693.239,4757.49,4635.42,4698.46,-24.332,-0.5179,61460096.14,131753764.398
801750.SI,20260604,4698.46,4732.234,4747.11,4671.8,4784.015,-85.555,-1.7884,55830031.59,121876408.623
801750.SI,20260603,4784.015,4792.57,4872.03,4747.59,4826.252,-42.237,-0.8752,65408775.32,148557839.674
801750.SI,20260602,4826.252,4887.344,4887.344,4750.97,4863.08,-36.828,-0.7573,62660662.66,138606948.49
801750.SI,20260601,4863.08,4783.795,4943.0,4783.759,4768.067,95.013,1.9927,66135502.21,154678579.474
801750.SI,20260529,4768.067,4996.112,5008.34,4746.78,4946.69,-178.623,-3.611,69630776.43,155761743.355
801750.SI,20260528,4946.69,4937.387,4970.36,4819.5,4940.292,6.398,0.1295,66107427.36,142558008.204
801750.SI,20260527,4940.292,5077.348,5101.074,4922.31,5096.697,-156.405,-3.0688,67764703.55,151589007.222
801750.SI,20260526,5096.697,5150.259,5152.76,5003.94,5193.281,-96.584,-1.8598,73641053.71,170051770.131
801750.SI,20260525,5193.281,5176.206,5220.3,5107.91,5157.953,35.328,0.6849,72331169.85,173868418.718
801750.SI,20260522,5157.953,5132.534,5175.93,5055.62,5089.98,67.973,1.3354,67249138.72,156368538.302
801750.SI,20260521,5089.98,5326.334,5368.43,5084.48,5286.279,-196.299,-3.7134,89267337.9,210273223.518
801750.SI,20260520,5286.279,5339.675,5365.31,5269.49,5378.293,-92.014,-1.7108,74190083.06,168830314.049
801750.SI,20260519,5378.293,5271.581,5378.438,5265.79,5268.556,109.737,2.0829,75156772.32,181359395.728
801750.SI,20260518,5268.556,5198.02,5298.62,5198.02,5207.798,60.758,1.1667,67757794.06,161256757.646
801750.SI,20260515,5207.798,5270.064,5336.72,5176.08,5265.406,-57.608,-1.0941,76149465.16,181712248.759
801750.SI,20260514,5265.406,5507.937,5519.06,5265.406,5461.189,-195.783,-3.585,83103759.61,203179707.869
801750.SI,20260513,5461.189,5338.739,5462.76,5317.93,5366.289,94.9,1.7684,83011154.16,203647352.051
801750.SI,20260512,5366.289,5453.681,5453.681,5347.59,5460.794,-94.505,-1.7306,79275053.5,192004404.606
801750.SI,20260511,5460.794,5472.217,5488.41,5413.9,5430.554,30.24,0.5568,92573977.72,231133622.082
801750.SI,20260508,5430.554,5396.53,5476.52,5372.66,5405.658,24.896,0.4606,88389596.85,209950589.985
801750.SI,20260507,5405.658,5331.4,5405.658,5298.98,5306.475,99.183,1.8691,80036948.06,196953444.308
801750.SI,20260506,5306.475,5199.494,5352.58,5199.494,5132.477,173.998,3.3901,81597373.38,206180249.517
801750.SI,20260430,5132.477,5094.688,5144.76,5081.72,5103.506,28.971,0.5677,66425311.43,152551197.559
801750.SI,20260429,5103.506,5017.322,5115.18,5017.322,5060.072,43.434,0.8584,61570026.8,137101608.634
801750.SI,20260428,5060.072,5132.44,5134.59,5038.03,5170.974,-110.902,-2.1447,64963644.15,151393067.716
801750.SI,20260427,5170.974,5157.727,5190.15,5092.4,5165.25,5.724,0.1108,62782938.99,151107665.991
801750.SI,20260424,5165.25,5167.827,5205.19,5067.81,5188.103,-22.853,-0.4405,69734766.21,167841841.22
801750.SI,20260423,5188.103,5241.004,5261.14,5156.3,5242.55,-54.447,-1.0386,67069875.9,158516029.477
801750.SI,20260422,5242.55,5128.903,5243.23,5124.45,5143.03,99.52,1.935,66753811.25,157725958.472
801750.SI,20260421,5143.03,5213.921,5213.933,5113.11,5239.496,-96.466,-1.8411,57516648.8,128445917.63
801750.SI,20260420,5239.496,5195.601,5264.58,5195.6,5179.188,60.308,1.1644,66042782.69,159058292.106
801750.SI,20260417,5179.188,5167.943,5202.13,5141.88,5186.119,-6.931,-0.1336,62065542.99,139038017.063
801750.SI,20260416,5186.119,5091.493,5189.164,5091.295,5069.534,116.585,2.2997,70519059.24,153378428.415
801750.SI,20260415,5069.534,5147.097,5147.097,5054.96,5116.377,-46.843,-0.9156,61138593.08,136146032.428
801750.SI,20260414,5116.377,5116.689,5126.1,5058.87,5041.589,74.788,1.4834,66728288.3,146767243.676
801750.SI,20260413,5041.589,4963.533,5066.02,4963.53,5011.253,30.336,0.6054,57005776.91,126943465.97
801750.SI,20260410,5011.253,4996.73,5068.69,4996.701,4952.349,58.904,1.1894,65223411.63,140022117.537
801750.SI,20260409,4952.349,4969.467,4981.552,4931.226,5037.354,-85.005,-1.6875,65047667.01,129864650.863
801750.SI,20260408,5037.354,4852.045,5037.354,4851.932,4732.265,305.089,6.447,74850341.53,161330037.318
801750.SI,20260407,4732.265,4725.962,4778.2,4706.19,4719.828,12.437,0.2635,44366719.05,85168803.679
801750.SI,20260403,4719.828,4805.851,4805.851,4706.8,4767.717,-47.889,-1.0044,47770261.23,90695077.199
801750.SI,20260402,4767.717,4897.179,4897.179,4743.84,4920.726,-153.009,-3.1095,50730358.81,99117475.158
801750.SI,20260401,4920.726,4918.634,4928.61,4891.23,4814.591,106.135,2.2044,50943503.09,108553480.778
801750.SI,20260331,4814.591,4877.932,4936.56,4812.03,4883.696,-69.105,-1.415,49276855.12,97172345.465
801750.SI,20260330,4883.696,4800.759,4886.57,4753.84,4885.69,-1.994,-0.0408,50331692.49,97116664.112
801750.SI,20260327,4885.69,4780.872,4910.32,4780.86,4850.756,34.934,0.7202,47045173.11,91819825.5
801750.SI,20260326,4850.756,4981.557,4989.98,4838.1,4987.667,-136.911,-2.745,57141670.34,111029270.451
801750.SI,20260325,4987.667,4913.884,5024.84,4913.845,4898.218,89.449,1.8262,62188058.84,129999968.651
801750.SI,20260324,4898.218,4881.533,4898.218,4770.13,4792.667,105.551,2.2023,62860506.14,123150349.219
801750.SI,20260323,4792.667,4953.65,4986.98,4766.96,5059.609,-266.942,-5.2759,74691025.18,147715689.789
801750.SI,20260320,5059.609,5277.003,5293.12,5059.22,5260.889,-201.28,-3.826,74161509.85,154631639.483
801750.SI,20260319,5260.889,5249.417,5319.88,5240.5,5337.532,-76.643,-1.4359,69834021.49,152952041.203
801750.SI,20260318,5337.532,5226.344,5340.87,5210.18,5209.236,128.296,2.4629,65877642.11,144699010.79
801750.SI,20260317,5209.236,5339.896,5339.9,5209.236,5323.44,-114.204,-2.1453,62345157.61,135467007.04
801750.SI,20260316,5323.44,5298.414,5324.68,5237.55,5311.287,12.153,0.2288,62831146.3,132691618.372
801750.SI,20260313,5311.287,5418.096,5418.112,5301.23,5458.602,-147.315,-2.6988,77142902.8,159612952.428
801750.SI,20260312,5458.602,5468.41,5528.72,5427.36,5486.447,-27.845,-0.5075,81465173.73,183202755.127
801750.SI,20260311,5486.447,5515.513,5538.25,5476.2,5517.349,-30.902,-0.5601,86643509.76,190344037.44
801750.SI,20260310,5517.349,5516.053,5571.2,5442.47,5446.591,70.758,1.2991,96790994.21,222976365.594
801750.SI,20260309,5446.591,5281.818,5468.15,5243.04,5360.523,86.068,1.6056,96862104.9,214086519.147
801750.SI,20260306,5360.523,5246.189,5360.523,5246.18,5271.28,89.243,1.693,68153488.13,145337397.459
