date,close,pct_change,main_net_inflow,main_net_pct,big_net_inflow,super_big_net_inflow,medium_net_inflow,small_net_inflow,ticker
20200102,,0.0,-13224000.0,0.0,-106399.99999999418,3430399.9999999907,-90461599.99999996,87137599.99999999,603259
20200103,,0.0,-135753600.0,0.0,-127613700.00000003,-9486100.000000006,6226399.999999994,130873300.00000001,603259
20200106,,0.0,-78300900.0,0.0,-44521900.00000002,-159274700.0,62231500.000000015,141565200.0,603259
20200107,,0.0,226538900.0,0.0,16983899.999999993,56949300.0,-77396300.00000001,3463099.999999995,603259
20200108,,0.0,-64398200.0,0.0,42009900.000000015,8276200.000000008,-51096700.00000002,810599.9999999949,603259
20200109,,0.0,257113000.0,0.0,259202800.0,210406400.0,-311286700.0,-158322400.00000003,603259
20200110,,0.0,42670600.00000001,0.0,74365899.99999997,21054400.000000022,-61261500.000000015,-34158799.99999997,603259
20200113,,0.0,88808500.0,0.0,88784500.0,31725900.0,-61943099.99999998,-58567399.99999998,603259
20200114,,0.0,-110249100.0,0.0,38414599.99999999,51196799.999999985,-50886199.99999999,-38725199.999999985,603259
20200115,,0.0,32076900.0,0.0,43376300.00000001,80615600.00000001,-100309000.00000001,-23682900.000000007,603259
20200116,,0.0,-3389300.0,0.0,88573300.00000001,89083000.0,-117543600.0,-60112800.00000001,603259
20200117,,0.0,68033900.0,0.0,71742399.99999999,45599300.0,-56168899.99999999,-61172999.99999999,603259
20200120,,0.0,79856600.0,0.0,-26649700.00000001,-14186799.999999985,1964600.0000000277,38872000.00000001,603259
20200121,,0.0,2712300.0,0.0,-127670899.99999997,-3663300.0000000177,63121600.0,68212700.0,603259
20200122,,0.0,121423300.0,0.0,3297599.999999984,-15691200.000000007,-6701899.999999987,19095500.00000003,603259
20200123,,0.0,-31066400.0,0.0,-128658900.0,-54047200.0,99014200.00000001,83691899.99999999,603259
20200203,,0.0,48647000.0,0.0,12484000.000000015,-53911300.00000001,36977299.99999996,4450100.0000000205,603259
20200204,,0.0,67322200.0,0.0,5077799.999999989,87958400.0,-53292799.999999985,-39743500.00000002,603259
20200205,,0.0,-15950000.0,0.0,-15038099.999999978,-36033299.99999995,85294000.00000001,-34222500.0,603259
20200206,,0.0,283489600.0,0.0,-71040000.0,61672899.99999993,4911700.000000055,4455400.000000008,603259
20200207,,0.0,-20263400.0,0.0,30464600.000000063,-112798400.00000004,35539800.00000003,46794000.000000015,603259
20200210,,0.0,61009000.0,0.0,40137699.99999997,-81843600.0,86183700.00000003,-44477899.99999999,603259
20200211,,0.0,79655800.0,0.0,46729599.99999999,-89221499.99999999,73008600.0,-30516600.0,603259
20200212,,0.0,297745300.0,0.0,-40545900.00000004,35092999.999999955,65129900.00000005,-59677099.99999999,603259
20200213,,0.0,-92081200.00000001,0.0,-51297400.00000005,1906399.9999999942,31367399.99999998,18023700.000000007,603259
20200214,,0.0,-17985400.0,0.0,-13449099.999999998,-2771699.9999999823,-5645699.999999997,21866600.000000015,603259
20200217,,0.0,70823200.0,0.0,88561400.0,-41733300.000000015,-32774599.999999993,-14053500.000000022,603259
20200218,,0.0,-26331300.0,0.0,-7931799.9999999665,-39383000.00000003,16033100.000000013,31281700.00000002,603259
20200219,,0.0,41900900.0,0.0,-49847900.00000001,-74049000.00000001,63674699.99999998,60222299.99999998,603259
20200220,,0.0,-48219500.0,0.0,-35435200.00000001,-31269400.000000022,49420499.99999999,17284100.0,603259
20200221,,0.0,41524000.0,0.0,-12994700.000000011,-73387799.99999999,46065900.0,40316700.0,603259
20200224,,0.0,-23549200.0,0.0,-55566500.000000015,28743400.0,387200.00000001164,26435799.99999998,603259
20200225,,0.0,2763900.0,0.0,85115499.99999996,58979100.0,-51671999.99999997,-92422599.99999999,603259
20200226,,0.0,-85170100.0,0.0,-77611200.00000003,-36763300.000000015,84004500.0,30370100.000000004,603259
