date,close,pct_change,main_net_inflow,main_net_pct,big_net_inflow,super_big_net_inflow,medium_net_inflow,small_net_inflow,ticker
20200102,,0.0,143451600.0,0.0,-67750200.00000004,54175799.99999998,27173600.000000007,-13599200.000000019,002460
20200103,,0.0,305688400.0,0.0,-83076999.99999997,116654699.99999997,-22760200.00000004,-10817399.99999998,002460
20200106,,0.0,127520000.0,0.0,-184296600.00000003,803410999.9999999,-374788200.00000006,-244326300.00000006,002460
20200107,,0.0,-175381400.0,0.0,-10033799.999999901,-274842600.0,85328200.0,199548200.0,002460
20200108,,0.0,37275300.0,0.0,110243099.99999997,-567784700.0,207076799.99999994,250464799.99999997,002460
20200109,,0.0,-141281700.0,0.0,13704899.999999907,37795200.00000001,-74769300.0,23269100.0,002460
20200110,,0.0,5259900.0,0.0,-85299400.00000003,27757500.0,21968699.999999955,35573200.00000003,002460
20200113,,0.0,170409900.00000003,0.0,-64755999.999999985,14465000.0,31511800.000000004,18779100.0,002460
20200114,,0.0,188706400.0,0.0,33941699.999999985,-37537799.999999985,-4677799.999999989,8274000.000000015,002460
20200115,,0.0,-123243500.0,0.0,-112862900.00000007,-124136100.0,90411500.00000001,146587500.00000003,002460
20200116,,0.0,76374000.0,0.0,-114936299.99999997,-103460599.99999997,124969599.99999999,93427400.00000001,002460
20200117,,0.0,824100.0,0.0,-26757799.99999999,28189700.00000001,-23376999.99999997,21945099.999999985,002460
20200120,,0.0,168615900.0,0.0,5274700.000000011,-35541500.000000015,20448999.99999994,9817799.999999989,002460
20200121,,0.0,-260484900.00000003,0.0,-24963899.999999993,-12839700.000000011,5674200.000000055,32129300.000000004,002460
20200122,,0.0,372557100.0,0.0,105681499.99999994,92400799.99999994,-91181100.0,-106901099.99999994,002460
20200123,,0.0,-100219900.0,0.0,-159704600.00000006,-3159599.999999991,10195399.999999937,152668800.00000006,002460
20200203,,0.0,453785600.0,0.0,-182322400.00000006,144661500.0,-87535200.00000004,125196199.99999996,002460
20200204,,0.0,521072699.99999994,0.0,-78793399.99999997,336177600.0,-147317599.99999994,-110066499.99999994,002460
20200205,,0.0,86527099.99999999,0.0,-144446500.0000001,123365400.00000007,-32179299.99999993,53260500.00000003,002460
20200206,,0.0,106124400.0,0.0,-26886699.99999998,-190277099.9999999,123858000.00000003,93305799.99999994,002460
20200207,,0.0,-20895900.0,0.0,-34051300.000000045,-122279899.99999999,53862100.00000007,102469099.99999996,002460
20200210,,0.0,-12175400.0,0.0,-311698800.00000006,931690100.0,-371458800.0,-248532600.00000003,002460
20200211,,0.0,18248800.0,0.0,108862400.00000006,-531487099.99999994,242294100.00000003,180330500.00000003,002460
20200212,,0.0,410202400.0,0.0,-162739900.00000006,389740400.00000006,-135524800.00000003,-91475600.00000004,002460
20200213,,0.0,21236300.0,0.0,-252771799.99999994,-348056700.0000001,171164700.0,429663699.99999994,002460
20200214,,0.0,-192102599.99999997,0.0,-85589700.00000001,-239763099.99999997,91969700.00000001,233383099.99999997,002460
20200217,,0.0,266778700.0,0.0,-106680299.99999999,143308199.9999999,20471900.000000022,-57099700.000000015,002460
20200218,,0.0,-655374100.0,0.0,-225519000.0000001,-345900500.0,155707599.99999994,415712000.00000006,002460
20200219,,0.0,-468357900.0,0.0,-86175800.00000001,-309559500.0,120024400.00000003,275710899.99999994,002460
20200220,,0.0,49459399.99999999,0.0,-82265699.99999993,80573799.9999999,33894700.000000015,-32202900.000000007,002460
20200221,,0.0,-247398800.0,0.0,69892500.0,-477480300.0,50013200.00000007,357574500.00000006,002460
20200224,,0.0,292636000.0,0.0,141569700.0,-555862500.0000001,129136699.99999999,285156199.99999994,002460
20200225,,0.0,496107800.0,0.0,-202731900.00000003,941865799.9999999,-401099599.99999994,-338034400.0,002460
20200226,,0.0,-113889500.0,0.0,-54921999.99999997,-196164899.9999999,124208700.0000001,126878300.00000001,002460
20200227,,0.0,-260101900.0,0.0,-190801600.00000003,-81740800.00000001,61501199.999999955,211041199.99999994,002460
