date,close,pct_change,main_net_inflow,main_net_pct,big_net_inflow,super_big_net_inflow,medium_net_inflow,small_net_inflow,ticker
20200102,,0.0,4689700.0,0.0,-87400.00000000009,-452600.00000000006,3360900.0000000005,-2821000.0000000014,601179
20200103,,0.0,-5183900.0,0.0,-2542000.0000000005,0.0,-675700.0000000005,3217599.9999999986,601179
20200106,,0.0,7368099.999999999,0.0,-1245399.9999999995,5188800.0,-2062100.0000000005,-1881300.0000000012,601179
20200107,,0.0,4518000.0,0.0,-2868700.0000000005,0.0,1134800.0000000002,1733900.000000001,601179
20200108,,0.0,-6748900.0,0.0,51999.99999999988,-1110000.0,-496699.9999999996,1554700.0000000002,601179
20200109,,0.0,-260200.0,0.0,-662600.0000000002,0.0,1397699.9999999998,-735099.9999999999,601179
20200110,,0.0,-6359400.000000001,0.0,-1909600.0,0.0,-1376500.000000001,3286100.0,601179
20200113,,0.0,12789000.0,0.0,1263999.9999999998,0.0,-5323100.000000001,4059100.000000001,601179
20200114,,0.0,862900.0000000001,0.0,755300.0000000003,-147500.0,-894400.0000000006,286700.0000000007,601179
20200115,,0.0,-5341200.0,0.0,-1053299.9999999998,0.0,575000.0,478300.0000000004,601179
20200116,,0.0,-2896900.0,0.0,2101199.9999999995,0.0,-2259300.0,158100.00000000058,601179
20200117,,0.0,-2326600.0,0.0,1398599.9999999998,2604300.0,-4546300.0,543500.0000000002,601179
20200120,,0.0,-4936000.0,0.0,4103200.0000000005,-1142200.0,-576399.9999999999,-2384500.0000000005,601179
20200121,,0.0,-9627600.0,0.0,-3744300.0,-2372500.0,1982699.9999999998,4134200.000000001,601179
20200122,,0.0,1487300.0,0.0,-285800.0,1016400.0,-3257899.9999999995,2527200.0000000005,601179
20200123,,0.0,-11103699.999999998,0.0,792800.0000000003,-2017199.9999999998,901700.0000000007,322899.99999999965,601179
20200203,,0.0,8552600.0,0.0,-505700.0000000005,-5530100.0,477400.0000000001,5558299.999999999,601179
20200204,,0.0,1757900.0,0.0,-4982300.0,-3804800.0,-2390299.9999999995,11177400.0,601179
20200205,,0.0,1558400.0,0.0,-1598399.9999999998,0.0,-51000.000000000226,1649399.9999999984,601179
20200206,,0.0,-712600.0,0.0,1400799.9999999993,2585900.0000000005,-661600.0000000008,-3325100.0,601179
20200207,,0.0,-9903100.0,0.0,-1107899.9999999995,-2347400.0,2120899.999999999,1334500.0000000005,601179
20200210,,0.0,-7708099.999999999,0.0,-5830500.0,-1587099.9999999998,2835200.000000002,4582300.0,601179
20200211,,0.0,-2996900.0,0.0,1660399.9999999995,0.0,4847100.0,-6507600.0,601179
20200212,,0.0,-878700.0,0.0,-339599.99999999977,0.0,2083300.0000000005,-1743700.0000000012,601179
20200213,,0.0,-8306799.999999999,0.0,-2454699.9999999995,0.0,-1092599.9999999988,3547300.0,601179
20200214,,0.0,-4516900.0,0.0,1440499.9999999998,2084900.0,-908899.9999999999,-2616600.000000001,601179
20200217,,0.0,7014900.0,0.0,-527000.0000000005,-1118400.0,-471499.99999999866,2116800.0000000005,601179
20200218,,0.0,-8985600.0,0.0,3256699.9999999995,1475600.0,1633499.999999999,-6365800.000000002,601179
20200219,,0.0,1846600.0,0.0,765099.9999999999,2422400.0,-2083500.0000000002,-1104000.000000001,601179
20200220,,0.0,2514200.0,0.0,1498000.0,0.0,84600.00000000036,-1582699.9999999998,601179
20200221,,0.0,-8106900.000000001,0.0,-2660900.0000000005,-9753100.0,6693400.0,5720699.999999999,601179
20200224,,0.0,-2854600.0,0.0,1752200.0000000002,437100.00000000006,-1663600.0000000012,-525599.9999999994,601179
20200225,,0.0,-3254800.0,0.0,-2703299.999999999,-1736800.0,3658299.999999999,781799.9999999984,601179
20200226,,0.0,-1017600.0,0.0,3396799.9999999995,-169800.00000000003,1057500.0,-4284399.999999998,601179
20200227,,0.0,8314000.0,0.0,-5515100.0,2178600.0,-3081500.000000001,6418000.000000002,601179
20200228,,0.0,-7774000.0,0.0,980100.000000001,-2230700.0,-2866299.9999999986,4116900.0000000005,601179
20200302,,0.0,11608500.0,0.0,10248700.000000002,437900.00000000023,-667100.0000000003,-10019499.999999994,601179
20200303,,0.0,-25988200.0,0.0,-3055299.9999999995,510299.9999999997,-94000.0000000009,2639099.9999999986,601179
20200304,,0.0,-12512100.0,0.0,-3991899.9999999995,2622000.0,3243600.0000000014,-1873700.0000000012,601179
20200305,,0.0,-25924699.999999996,0.0,25515400.0,27167900.0,-12455600.0,-40227900.0,601179
