date,close,pct_change,main_net_inflow,main_net_pct,big_net_inflow,super_big_net_inflow,medium_net_inflow,small_net_inflow,ticker
20200102,,0.0,396254000.0,0.0,-2384199.9999999823,378820500.0,-154905300.0,-221531000.00000006,600183
20200103,,0.0,-18434200.0,0.0,36028300.000000015,-44588300.000000015,-34689800.00000003,43249799.99999996,600183
20200106,,0.0,168210099.99999997,0.0,-2279900.000000052,186717900.0,-90818499.99999999,-93619500.00000004,600183
20200107,,0.0,-193079000.0,0.0,-32208899.999999993,-75930599.99999997,40172199.99999998,67967400.00000001,600183
20200108,,0.0,-157724200.0,0.0,-73173800.00000001,-73712200.00000001,5417700.000000005,141468200.00000003,600183
20200109,,0.0,28798000.0,0.0,42080700.00000003,28307700.000000004,-30174300.000000004,-40214099.99999998,600183
20200110,,0.0,47448200.0,0.0,-16159699.999999976,18575800.00000002,-7305299.999999989,4889300.000000003,600183
20200113,,0.0,475387100.0,0.0,16042399.99999998,184433599.99999997,-136530400.0,-63945599.99999998,600183
20200114,,0.0,-147509700.0,0.0,-9177799.999999989,-106760700.0,27125999.999999985,88812500.0,600183
20200115,,0.0,-1555500.0,0.0,8581299.999999974,-25221800.000000004,-47765300.00000002,64405900.0,600183
20200116,,0.0,-113898100.0,0.0,-48478899.99999999,-86800700.0,58926899.999999985,76352699.99999999,600183
20200117,,0.0,-161589900.0,0.0,-69172700.0,-129952300.00000001,26325100.00000002,172799800.00000003,600183
20200120,,0.0,335272300.00000006,0.0,-16611100.000000006,162265099.99999997,-42889199.999999985,-102764899.99999999,600183
20200121,,0.0,131247099.99999999,0.0,72005899.99999997,2195300.0000000247,-24948899.999999993,-49252399.99999998,600183
20200122,,0.0,266843100.0,0.0,-14576299.999999974,247266500.0,-96224700.00000001,-136465500.0,600183
20200123,,0.0,-276963800.0,0.0,-62845900.00000004,-98190300.00000003,41567200.000000015,119469000.00000001,600183
20200203,,0.0,236214000.0,0.0,-46214599.99999999,43563399.999999985,-16601700.000000006,19253000.0,600183
20200204,,0.0,-114623000.0,0.0,-37462700.00000004,-64460399.99999999,16410199.999999968,85512900.00000001,600183
20200205,,0.0,-192452400.00000003,0.0,-93358400.00000004,-56441500.000000015,37534899.99999998,112265099.99999999,600183
20200206,,0.0,-68715600.0,0.0,-60259300.0,56635499.99999999,8983100.00000005,-5359399.999999987,600183
20200207,,0.0,163286900.0,0.0,-77062399.99999999,117234800.0,-44226100.00000001,4053800.0000000102,600183
20200210,,0.0,-30936400.0,0.0,-30510200.00000004,90040700.00000001,-82168999.99999999,22638300.00000002,600183
20200211,,0.0,-93846700.0,0.0,14895800.000000017,-102508200.00000001,76429799.99999996,11182600.00000002,600183
20200212,,0.0,220707700.0,0.0,-47048300.000000015,76160299.99999999,30752300.000000034,-59864199.999999985,600183
20200213,,0.0,-36484600.0,0.0,74861699.99999999,24979799.999999996,-64410999.999999985,-35430500.00000003,600183
20200214,,0.0,343193700.0,0.0,-32533300.00000002,273542500.0,-95649300.0,-145359999.99999997,600183
20200217,,0.0,226807900.0,0.0,29545099.999999948,18512399.99999998,8105000.0,-56162500.0,600183
20200218,,0.0,-20201500.0,0.0,-2229200.0000000554,-8561200.000000026,-11262600.00000002,22052899.999999974,600183
20200219,,0.0,-95628000.0,0.0,10341599.999999963,-184417100.0,60893499.999999985,113182000.0,600183
20200220,,0.0,129964300.0,0.0,-42692099.99999999,73175200.0,3635500.000000029,-34118600.00000001,600183
20200221,,0.0,-27078900.0,0.0,39587200.000000015,23754300.000000004,-28717099.999999918,-34624399.99999995,600183
20200224,,0.0,193209300.0,0.0,-145445800.00000003,507624299.99999994,-219242900.0,-142935700.0,600183
20200225,,0.0,-146668100.0,0.0,141054599.9999999,-519257299.99999994,147419299.99999994,230783399.99999997,600183
20200226,,0.0,-212904400.0,0.0,-114613700.00000003,-148183300.00000003,97859700.00000001,164937200.0,600183
20200227,,0.0,345364000.0,0.0,4459100.000000035,29886899.999999985,-25289499.99999997,-9056600.000000035,600183
20200228,,0.0,126028700.00000001,0.0,-114753700.0000001,-104270599.99999997,85588999.99999994,133435299.99999999,600183
20200302,,0.0,6693900.0,0.0,-61601600.00000004,453154000.0,-164731900.00000003,-226820400.0,600183
20200303,,0.0,-166573000.0,0.0,-115818500.00000006,-190224600.00000006,92606100.0,213436999.99999997,600183
20200304,,0.0,-81607500.0,0.0,-129129599.99999999,-212154300.0,89388499.99999999,251895400.0,600183
20200305,,0.0,-242632700.0,0.0,-3800800.0000000177,32819300.000000004,-45442499.999999925,16424100.000000035,600183
20200306,,0.0,-18531100.0,0.0,-7320999.999999985,-51705200.00000001,28945400.000000007,30080699.999999996,600183
20200309,,0.0,-25765800.0,0.0,-49416600.00000004,-162955099.99999997,91215599.99999997,121156100.0,600183
20200310,,0.0,388872300.00000006,0.0,-3118799.999999974,528890799.99999994,-285106700.0,-240665399.99999997,600183
20200311,,0.0,10551500.0,0.0,114506900.00000003,-238045700.0,75151199.99999996,48387699.99999997,600183
20200312,,0.0,-31141300.0,0.0,-14613799.999999974,-47325599.99999998,-1288800.0000000466,63228199.99999996,600183
20200313,,0.0,293657900.0,0.0,-67170999.99999991,33097399.99999998,49643399.99999996,-15569799.999999959,600183
20200316,,0.0,-52481100.0,0.0,-137260899.99999997,-510126100.0,243967399.99999997,403419600.00000006,600183
20200317,,0.0,1279300.0,0.0,-91278500.00000006,-125523900.0,73403300.00000001,143399100.00000003,600183
20200318,,0.0,-90369700.0,0.0,60934700.000000015,-76085200.0,-4258099.999999977,19408600.000000007,600183
20200319,,0.0,96493400.0,0.0,41862099.99999999,16764500.000000007,-9616899.99999995,-49009700.000000015,600183
20200320,,0.0,-141207100.0,0.0,-39182500.0,-75267500.00000001,88538699.99999999,25911199.99999999,600183
20200323,,0.0,86416400.0,0.0,-70541900.00000003,-85056599.99999999,31112299.99999996,124486199.99999999,600183
20200324,,0.0,77350600.0,0.0,-24752600.00000002,-38268599.999999985,-17330899.999999966,80351900.00000003,600183
20200325,,0.0,26151000.0,0.0,-80904700.00000001,10429099.999999998,8248199.999999997,62227399.99999998,600183
20200326,,0.0,31779699.999999996,0.0,-89380900.0,-51916500.0,18633199.999999996,122664300.0,600183
20200327,,0.0,-50827700.00000001,0.0,-16581499.999999978,-39640799.99999999,21557199.999999974,34665100.00000002,600183
20200330,,0.0,29460800.0,0.0,-70760500.0,-50662600.0,44923799.99999997,76499200.00000001,600183
20200331,,0.0,-111964200.0,0.0,-51551399.99999999,35041799.99999999,-14999599.99999999,31509300.000000004,600183
20200401,,0.0,16506000.0,0.0,1250200.0000000044,42455100.0,-8873199.999999996,-34832199.99999998,600183
20200402,,0.0,142078500.0,0.0,81343900.00000003,83842599.99999999,-67852000.00000004,-97334400.00000003,600183
20200403,,0.0,-127269300.0,0.0,-63529600.00000003,-58896300.00000001,16826899.999999985,105598900.00000003,600183
20200407,,0.0,138471900.0,0.0,70575500.00000003,62403300.000000015,-64020100.00000002,-68958600.0,600183
20200408,,0.0,53980400.0,0.0,13499500.000000007,69603500.0,-61049399.999999985,-22053500.000000022,600183
20200409,,0.0,-3339700.0000000005,0.0,6192599.999999984,-9379700.000000011,-4370799.999999981,7557799.999999989,600183
20200410,,0.0,36644500.0,0.0,-43850200.00000001,-15283900.000000004,51787199.99999998,7346900.000000023,600183
20200413,,0.0,22739899.999999996,0.0,-45516899.999999985,-15021400.000000004,37218300.000000015,23320000.0,600183
20200414,,0.0,104881000.0,0.0,22274200.00000002,85900500.0,-40729699.99999998,-67444999.99999999,600183
20200415,,0.0,-70094200.0,0.0,-29767799.99999999,15672100.0,-27077299.999999996,41172899.99999997,600183
20200416,,0.0,2841700.0,0.0,-22929799.999999996,-12116600.000000004,-393800.0000000102,35440200.00000001,600183
20200417,,0.0,95852000.0,0.0,37487500.0,26226500.000000004,-38480900.0,-25233100.000000015,600183
20200420,,0.0,114422400.0,0.0,73596900.00000003,16788199.999999996,-17474599.999999993,-72910500.0,600183
20200421,,0.0,157018900.0,0.0,-19044399.999999985,39172900.00000001,32666200.000000026,-52794599.99999999,600183
20200422,,0.0,-59814399.99999999,0.0,-35668599.999999985,-39006600.00000001,47043700.00000003,27631500.000000015,600183
20200423,,0.0,-51434700.0,0.0,21203800.00000001,-15053900.000000004,-19799000.000000015,13649099.999999998,600183
20200424,,0.0,-27952000.0,0.0,-85891400.0,-58120900.0,23361499.999999978,120650800.0,600183
20200427,,0.0,72297300.0,0.0,4209000.000000015,-1433299.9999999993,31461800.000000004,-34237400.000000015,600183
20200428,,0.0,190173000.0,0.0,33131300.00000001,-11134699.999999993,-7685900.000000002,-14310599.999999978,600183
20200429,,0.0,-38427900.0,0.0,-41732599.999999985,65709499.99999999,-47576599.99999996,23599800.000000034,600183
20200430,,0.0,140282400.0,0.0,59172600.00000002,104531199.99999999,-73517000.00000004,-90186800.0,600183
20200506,,0.0,-18321500.0,0.0,-15507999.999999957,20308600.000000007,-33977300.00000003,29176699.99999998,600183
20200507,,0.0,-200040900.0,0.0,119862600.00000001,-23011400.00000003,-33714100.00000004,-63137099.99999999,600183
20200508,,0.0,-170653100.0,0.0,-21955699.999999996,-21343999.999999996,-50808000.00000003,94107800.00000003,600183
20200511,,0.0,-420295899.99999994,0.0,-106899600.00000003,-61285899.999999985,-1580000.0,169765500.00000003,600183
20200512,,0.0,49534100.0,0.0,17312799.99999999,-2409800.0000000047,-12930799.999999981,-1972300.0000000321,600183
20200513,,0.0,-14374700.0,0.0,5755500.000000029,-10171800.000000004,-24080299.99999999,28496600.0,600183
20200514,,0.0,77520800.0,0.0,135048900.0,40215399.99999999,-85772099.99999999,-89492200.00000001,600183
20200515,,0.0,-191751900.0,0.0,14661499.999999942,-122834600.00000001,30960100.00000002,77212900.00000001,600183
20200518,,0.0,-328419600.0,0.0,-196022300.00000003,-95860199.99999997,-4324599.999999992,296207200.0,600183
20200519,,0.0,107169100.0,0.0,37771800.0,47146500.00000001,-27497700.000000004,-57420700.00000003,600183
20200520,,0.0,-195608900.0,0.0,-90075600.00000001,-70385400.0,36465499.99999999,123995500.0,600183
20200521,,0.0,-41703000.0,0.0,-139378900.0,-61126299.99999999,-1018299.9999999447,201523500.00000003,600183
20200522,,0.0,-85412099.99999999,0.0,29999900.000000015,-43800200.00000001,-1576100.0000000058,15376400.00000003,600183
20200525,,0.0,65393000.0,0.0,-118052599.99999999,-184934800.0,138789999.99999997,164197500.0,600183
20200526,,0.0,52103500.0,0.0,3998700.000000026,72602700.0,-36832999.99999999,-39768400.0,600183
20200527,,0.0,-104616200.00000001,0.0,-80679599.99999999,-18471300.00000001,3694300.000000003,95456500.00000001,600183
20200528,,0.0,-56588200.0,0.0,-42109800.000000015,-20888700.0,11170000.0,51828499.999999985,600183
20200529,,0.0,-154390300.0,0.0,-12237500.0,-19001099.999999996,7337400.000000016,23901100.000000007,600183
20200601,,0.0,195706800.0,0.0,51897599.999999985,201045300.00000003,-127999800.0,-124943199.99999996,600183
20200602,,0.0,-18873000.0,0.0,25375900.0,48085999.99999999,-69252500.0,-4209300.000000003,600183
20200603,,0.0,-196038200.0,0.0,-51328700.00000003,-29791100.000000007,-38900399.99999997,120020300.00000003,600183
20200604,,0.0,-155620500.0,0.0,-61482699.999999985,-100587600.0,34514500.00000001,127555799.99999999,600183
20200605,,0.0,-52840500.0,0.0,-9618400.000000002,-26099199.999999993,-22450299.99999999,58167999.99999999,600183
20200608,,0.0,-127335800.0,0.0,-127606100.0,-35505700.0,34984000.000000015,128127699.99999999,600183
20200609,,0.0,155340900.0,0.0,-48758400.0,-25851000.000000004,23014600.000000026,51594799.99999999,600183
20200610,,0.0,-233003100.0,0.0,-46140399.99999997,-66380499.99999999,3395300.0000000247,109125500.0,600183
20200611,,0.0,141314300.0,0.0,47147599.999999985,69999900.0,-69651700.00000006,-47495700.0,600183
20200612,,0.0,-54253100.00000001,0.0,21945299.99999999,-25000100.00000001,-998699.9999999898,4053600.0000000056,600183
20200615,,0.0,-196158800.0,0.0,-116193500.00000001,-74115800.00000001,11535800.000000017,178773399.99999997,600183
20200616,,0.0,458134600.0,0.0,129230400.00000001,154029900.00000003,-104197099.99999999,-179063200.00000003,600183
20200617,,0.0,141829400.0,0.0,33762500.0,39031299.99999997,-51571800.0,-21221999.99999997,600183
20200618,,0.0,66940500.0,0.0,-34106200.00000003,38950400.00000001,-14864199.999999983,10019900.000000052,600183
20200619,,0.0,-116385900.0,0.0,5943599.999999969,-4956600.000000017,-43206000.00000002,42218899.99999999,600183
20200622,,0.0,125025400.00000001,0.0,45653899.99999999,-17612500.0,-17907600.00000002,-10133799.999999974,600183
20200623,,0.0,-139255000.0,0.0,-84283000.0,-79555900.00000001,79207099.99999999,84631699.99999999,600183
20200624,,0.0,270318400.0,0.0,60111700.00000005,84965000.0,-69563200.0,-75513500.00000001,600183
20200629,,0.0,-244433400.0,0.0,-98931599.99999996,-116165399.99999999,6735700.0000000335,208361200.00000003,600183
20200630,,0.0,-956800.0000000001,0.0,-5129200.000000019,-29759799.999999996,-7670799.999999981,42559799.99999999,600183
20200701,,0.0,-114213400.0,0.0,-145436699.99999997,-44839499.99999999,37698499.999999985,152577800.00000003,600183
20200702,,0.0,96632099.99999999,0.0,-6870599.999999977,58992899.99999999,-37569700.000000015,-14552599.999999983,600183
20200703,,0.0,148115100.0,0.0,7285100.0000000205,98427599.99999999,-67559499.99999997,-38153200.0,600183
20200706,,0.0,-32574400.0,0.0,28964300.000000004,-164723599.99999994,93873700.00000003,41885700.0,600183
20200707,,0.0,-152472300.0,0.0,-77609800.00000003,49172300.00000003,-78316200.0000001,106753700.00000003,600183
20200708,,0.0,-47984200.0,0.0,-140353399.99999997,-33039200.00000002,94263699.99999996,79128900.0,600183
20200709,,0.0,-27267199.999999996,0.0,96687700.00000004,206588400.00000003,-149441200.0000001,-153835000.0,600183
20200710,,0.0,-287413600.0,0.0,-3481399.9999999944,-289458500.0,35248799.99999997,257691100.0,600183
