date,close,pct_change,main_net_inflow,main_net_pct,big_net_inflow,super_big_net_inflow,medium_net_inflow,small_net_inflow,ticker
20200102,,0.0,28732800.000000004,0.0,691100.0000000013,-1410299.9999999998,-2096700.0000000007,2815900.0000000014,300285
20200103,,0.0,-25509400.0,0.0,8752399.999999998,3727300.0,9857799.999999998,-22337500.0,300285
20200106,,0.0,-8595500.0,0.0,2245899.9999999967,-2723900.0000000005,-3235399.9999999995,3713399.9999999925,300285
20200107,,0.0,88416600.0,0.0,4046799.9999999846,5839500.000000003,-4128199.999999997,-5757999.999999993,300285
20200108,,0.0,-28840400.0,0.0,25569800.000000004,-7393700.000000001,-4935400.000000008,-13240800.0,300285
20200109,,0.0,-6924900.0,0.0,2948299.999999999,548000.0000000007,295799.9999999993,-3792100.0000000005,300285
20200110,,0.0,-2052600.0,0.0,-10637000.000000002,2175100.0,5087800.000000002,3374099.9999999986,300285
20200113,,0.0,21315400.0,0.0,143899.99999999872,-12029300.0,7528700.000000004,4356700.000000001,300285
20200114,,0.0,-24555800.0,0.0,-4034299.999999998,-8062000.0,7122399.999999998,4973899.999999999,300285
20200115,,0.0,-9118900.0,0.0,-13616500.0,-1800000.0,3285500.000000002,12131100.000000002,300285
20200116,,0.0,-1850600.0,0.0,-7396799.999999998,-358299.9999999993,-268800.0000000011,8023799.999999996,300285
20200117,,0.0,-15579600.0,0.0,-3522799.9999999995,-362100.0,4451900.000000001,-567199.999999998,300285
20200120,,0.0,16823200.0,0.0,10394200.0,-7843699.999999999,-331099.99999999674,-2219399.999999996,300285
20200121,,0.0,-11332900.0,0.0,-6356700.000000001,-5743899.999999999,1655000.0,10445699.999999996,300285
20200122,,0.0,-11724200.0,0.0,-1056700.0000000007,7376200.000000001,-7299099.999999998,979600.0000000003,300285
20200123,,0.0,-67207000.0,0.0,20707100.0,48599.999999998996,2366899.999999996,-23122599.999999993,300285
20200203,,0.0,17242500.0,0.0,-5737500.0,15240800.0,-18922800.000000007,9419499.999999998,300285
20200204,,0.0,29825400.0,0.0,-8629600.0,4801600.0,-10337700.000000004,14165699.999999996,300285
20200205,,0.0,-41698200.0,0.0,-1526000.0000000037,-3591300.0,7261300.000000001,-2144099.9999999986,300285
20200206,,0.0,24394100.0,0.0,695799.9999999993,1120800.0000000016,3060000.0,-4876499.999999996,300285
20200207,,0.0,-12164600.0,0.0,3632599.9999999977,421999.9999999999,-2790799.999999999,-1263800.0000000012,300285
20200210,,0.0,-14136000.0,0.0,2010299.9999999998,479700.0000000001,491200.00000000343,-2981100.0000000014,300285
20200211,,0.0,33010300.000000004,0.0,4255100.000000002,5533200.000000001,-3965099.999999993,-5823099.999999995,300285
20200212,,0.0,-17517100.0,0.0,6109200.000000001,3099400.0000000005,5126199.999999999,-14334600.0,300285
20200213,,0.0,-50858200.0,0.0,-9354200.0,415500.0000000007,2525200.000000004,6413499.999999994,300285
20200214,,0.0,16460900.0,0.0,-7415600.000000004,1420899.999999999,8936099.999999996,-2941500.000000001,300285
20200217,,0.0,29318100.0,0.0,-9210900.000000002,355699.99999999936,-634400.0000000051,9489600.0,300285
20200218,,0.0,5443400.0,0.0,18621000.000000004,-4410099.999999997,4533999.999999996,-18745000.000000007,300285
20200219,,0.0,-17846700.0,0.0,-7199099.999999998,-13851100.000000002,10508400.000000002,10541900.000000006,300285
20200220,,0.0,-12811900.0,0.0,1442399.999999998,7631199.999999999,-4468199.999999997,-4605299.999999997,300285
20200221,,0.0,11277000.0,0.0,-1585699.9999999972,-21798900.0,17441400.00000001,5943200.000000015,300285
20200224,,0.0,5670400.0,0.0,-18238999.999999996,9450100.000000002,5198000.000000011,3590799.999999999,300285
20200225,,0.0,-52304000.0,0.0,-34165400.00000001,445099.9999999931,21261300.00000001,12459000.000000015,300285
20200226,,0.0,-60261600.0,0.0,-26895500.00000001,8682599.999999998,4240300.0000000065,13972700.000000004,300285
20200227,,0.0,-31377399.999999996,0.0,-2207299.999999996,17496400.000000004,-9797099.99999999,-5491999.999999998,300285
20200228,,0.0,-38310100.0,0.0,3577599.999999984,-45933600.0,22816299.999999993,19539700.000000004,300285
20200302,,0.0,14821400.000000002,0.0,-41194900.000000015,-2319200.000000001,30350100.000000004,13163899.999999994,300285
20200303,,0.0,-16424600.0,0.0,11609499.999999998,-1233700.0000000012,-1948000.0000000019,-8427800.000000007,300285
20200304,,0.0,-6556500.0,0.0,13951299.999999993,-293299.9999999993,-12910000.0,-748000.0000000019,300285
20200305,,0.0,-2698600.0,0.0,1728800.0000000012,9402900.0,3999600.0000000005,-15131300.000000002,300285
20200306,,0.0,63476600.0,0.0,-13009900.000000017,13136799.999999998,-332700.00000000437,205699.9999999971,300285
20200309,,0.0,-47029600.0,0.0,-4671499.999999996,-19295900.0,-1228699.9999999898,25196100.000000007,300285
20200310,,0.0,17577100.0,0.0,-24177799.999999996,2038999.9999999986,4205200.000000005,17933600.000000007,300285
20200311,,0.0,-37402500.0,0.0,1814499.9999999981,-21336800.000000004,-4084300.000000003,23606499.999999996,300285
20200312,,0.0,644700.0,0.0,-17387700.000000004,2014200.0000000007,-4063900.0000000033,19437399.999999996,300285
20200313,,0.0,5278700.0,0.0,-21380800.0,1546000.0000000002,-3729099.9999999986,23563899.999999993,300285
20200316,,0.0,-3930400.0,0.0,-12839700.000000011,-25289699.999999996,-4582299.999999995,42711700.0,300285
20200317,,0.0,53539300.0,0.0,-8993300.0,-11218100.0,13193500.000000004,7017900.000000008,300285
20200318,,0.0,-14232000.0,0.0,7193299.999999999,-17975200.0,8491099.999999996,2290699.999999997,300285
20200319,,0.0,18641200.0,0.0,-24023500.000000004,-2952799.9999999995,-11799399.999999987,38775700.0,300285
20200320,,0.0,-30072199.999999996,0.0,-21156499.99999999,11182700.0,13238000.000000002,-3264300.000000003,300285
20200323,,0.0,-18619800.0,0.0,-15886199.999999998,-8749200.0,3656700.000000001,20978700.0,300285
20200324,,0.0,10280700.0,0.0,-1223699.9999999988,566900.0000000006,-4176099.9999999967,4832900.0,300285
20200325,,0.0,-6981799.999999999,0.0,30632399.99999999,6386999.999999998,-12632100.00000001,-24387299.999999996,300285
20200326,,0.0,-5543400.0,0.0,-46400.000000003274,8511500.0,-4415900.000000002,-4049099.9999999986,300285
20200327,,0.0,17499300.0,0.0,-6692400.000000003,-666700.0000000007,1232399.999999998,6126600.000000007,300285
20200330,,0.0,-31217600.000000004,0.0,5453200.0000000065,371800.00000000064,-13543199.999999996,7718199.999999997,300285
20200331,,0.0,11154100.0,0.0,-15897799.999999998,8845100.0,6619499.999999998,433099.9999999995,300285
20200401,,0.0,15452400.0,0.0,6731500.000000001,-6363699.999999999,-9883699.999999998,9515900.000000002,300285
20200402,,0.0,28235000.0,0.0,6711299.999999996,3290599.9999999995,-7275200.000000005,-2726700.000000001,300285
20200403,,0.0,-34071500.0,0.0,3340700.000000002,-3964400.0,4723900.000000004,-4100399.9999999995,300285
20200407,,0.0,-21449000.0,0.0,7245500.000000002,12016699.999999998,-22831099.99999999,3569000.0000000144,300285
20200408,,0.0,14186000.0,0.0,-12052999.999999993,15938200.0,-797299.9999999956,-3087999.9999999925,300285
20200409,,0.0,-5532500.0,0.0,24004799.999999996,-2145800.0000000005,-6990500.000000002,-14868400.000000002,300285
20200410,,0.0,-28402100.0,0.0,916900.0000000051,-6626400.000000001,8568699.999999998,-2859200.000000001,300285
20200413,,0.0,-41432299.99999999,0.0,-1583299.9999999993,-1334200.0000000007,-18420999.999999996,21338600.000000007,300285
20200414,,0.0,89203700.00000001,0.0,16598500.000000004,-10095900.0,2017300.0000000137,-8519899.999999998,300285
20200415,,0.0,-24187600.000000004,0.0,1537300.0000000047,7745699.999999999,-4646700.000000001,-4636300.00000001,300285
