date,close,pct_change,main_net_inflow,main_net_pct,big_net_inflow,super_big_net_inflow,medium_net_inflow,small_net_inflow,ticker
20200102,,0.0,14088300.0,0.0,13978100.000000004,-3592400.0,14226300.00000001,-24612000.0,601689
20200103,,0.0,17125200.0,0.0,9060700.000000006,-2722400.0,23307100.00000001,-29645500.0,601689
20200106,,0.0,-32800600.0,0.0,-41941500.000000015,42880399.99999999,6766200.000000008,-7705100.000000002,601689
20200107,,0.0,-84218100.0,0.0,-10283199.999999996,-72836200.0,52777000.00000001,30342400.000000015,601689
20200108,,0.0,34647500.0,0.0,-21073999.999999978,53192999.99999999,-30099399.999999985,-2019600.0000000277,601689
20200109,,0.0,4326200.0,0.0,-45374200.00000002,-31924100.0,20170900.0,57127300.000000015,601689
20200110,,0.0,-96119000.0,0.0,32750599.999999996,-21144800.000000004,-1705099.999999984,-9900600.000000013,601689
20200113,,0.0,66851000.0,0.0,7781900.000000023,4493899.999999994,-34154699.99999998,21878899.999999993,601689
20200114,,0.0,-121973700.00000001,0.0,-17578600.000000007,-52404600.00000001,1242700.0000000044,68740400.00000001,601689
20200115,,0.0,-23862000.0,0.0,-53421000.00000002,-11413200.000000006,9331200.000000007,55502900.00000001,601689
20200116,,0.0,-22555700.0,0.0,6717200.000000011,25914600.0,-19448099.999999996,-13183600.000000006,601689
20200117,,0.0,-17704700.0,0.0,-6647999.999999993,-14496800.0,-13190500.000000011,34335200.00000001,601689
20200120,,0.0,23770400.0,0.0,-18439399.999999985,4543299.999999999,18460599.999999996,-4564600.000000009,601689
20200121,,0.0,25931400.0,0.0,53714100.0,25025600.000000004,-33473700.000000026,-45266000.0,601689
20200122,,0.0,104559900.0,0.0,15624500.000000007,21696600.0,5558100.000000013,-42879300.0,601689
20200123,,0.0,-77085200.0,0.0,-3810900.0000000014,22786500.000000004,-13213400.000000002,-5762300.000000014,601689
20200203,,0.0,64466300.0,0.0,-1545100.0000000205,-18659500.000000007,11206300.00000001,8998199.999999996,601689
20200204,,0.0,5621000.0,0.0,-12947600.000000011,53583700.00000001,-23973200.000000007,-16662900.0,601689
20200205,,0.0,-157434700.0,0.0,-3166700.000000019,-26316199.99999999,5363499.999999985,24119399.999999985,601689
20200206,,0.0,97101500.0,0.0,-50335899.99999996,-74571000.0,57257000.00000001,67650000.0,601689
20200207,,0.0,-126427900.00000001,0.0,-29474799.999999996,7177699.999999995,2688499.9999999856,19608600.000000007,601689
20200210,,0.0,94287099.99999999,0.0,16879000.000000015,-26035800.0,7894799.999999995,1262000.0000000072,601689
20200211,,0.0,-125290700.0,0.0,-35350599.99999998,-75703800.0,21394100.0,89660300.0,601689
20200212,,0.0,-43769700.0,0.0,-14935699.999999996,13921000.000000004,-42154100.0,43168899.99999999,601689
20200213,,0.0,-38020400.0,0.0,-31933199.999999996,-12166899.999999996,-1737799.9999999884,45837999.99999999,601689
20200214,,0.0,-66303800.0,0.0,-41668600.00000001,-33410200.000000004,18779200.0,56299600.0,601689
20200217,,0.0,7014700.0,0.0,-8377099.999999992,-17315799.99999999,5004800.000000014,20688099.999999996,601689
20200218,,0.0,6154500.0,0.0,-28585000.0,-24202100.0,12298499.999999985,40488500.0,601689
20200219,,0.0,-240137700.0,0.0,-59825099.999999985,-76520400.00000001,-32767099.999999993,169112600.00000003,601689
20200220,,0.0,88952600.0,0.0,26196399.999999993,-2711699.9999999916,-28750900.0,5266300.00000001,601689
20200221,,0.0,50051800.0,0.0,-7060699.999999997,6562100.0,16686300.00000001,-16187700.000000004,601689
20200224,,0.0,-114306900.0,0.0,-138100300.00000003,-21564300.000000004,24671899.999999985,134992600.0,601689
20200225,,0.0,-10408200.0,0.0,-18081299.999999974,-17701299.999999993,-3577100.0000000275,39359700.000000015,601689
20200226,,0.0,-101061900.0,0.0,-37558599.999999985,-38089000.0,-765999.9999999854,76413500.0,601689
20200227,,0.0,-47069000.0,0.0,-13730799.999999981,-52778700.00000001,13264399.999999987,53245100.0,601689
20200228,,0.0,-8010900.0,0.0,-10832000.000000007,-19140000.000000004,-67643400.0,97615399.99999999,601689
20200302,,0.0,30277100.0,0.0,-18420600.000000015,46449000.0,-26867500.0,-1160900.0000000014,601689
20200303,,0.0,-1926300.0,0.0,-11979799.999999996,-15768999.999999996,29448400.0,-1699700.0000000116,601689
20200304,,0.0,-46132000.0,0.0,18624300.000000004,-2988600.0000000014,-1884799.9999999956,-13750900.000000002,601689
20200305,,0.0,-19251700.0,0.0,19761700.0,6463299.999999999,2571799.9999999846,-28796899.999999996,601689
20200306,,0.0,35241800.0,0.0,26994800.000000004,-7002799.999999997,-965199.9999999861,-19026800.000000004,601689
20200309,,0.0,-55318800.0,0.0,20529100.0,-52745700.0,12759099.999999998,19457399.999999996,601689
20200310,,0.0,136842800.0,0.0,23052400.000000015,96186999.99999997,-41625899.999999985,-77613600.0,601689
20200311,,0.0,-38488500.0,0.0,-1245200.0000000044,-16617600.000000002,6785200.000000005,11077700.000000004,601689
20200312,,0.0,-22208400.0,0.0,1736700.0000000007,-1849200.0000000007,5939899.999999998,-5827399.999999998,601689
20200313,,0.0,-5387600.0,0.0,8803600.000000006,-8617500.0,-1146800.0000000028,960599.9999999949,601689
20200316,,0.0,-85801500.0,0.0,-21418700.0,-22961300.0,3049800.000000014,41330200.00000001,601689
20200317,,0.0,-31362000.0,0.0,-34799900.0,-4596899.999999999,25803400.0,13593300.0,601689
20200318,,0.0,-16863800.0,0.0,-43629999.99999999,-22908800.0,25477999.999999993,41060900.0,601689
20200319,,0.0,32614699.999999996,0.0,-67392700.0,-3719400.0000000005,-7575000.0,78687099.99999999,601689
20200320,,0.0,-42983900.0,0.0,-38481000.000000015,-7723000.0,26081399.999999993,20122600.000000004,601689
20200323,,0.0,56555600.00000001,0.0,-44612700.00000001,-56618400.0,41548200.0,59682999.99999999,601689
20200324,,0.0,11324800.0,0.0,-10815999.999999985,-20343700.0,17771600.0,13388000.000000011,601689
20200325,,0.0,-5023900.0,0.0,-5478999.999999979,31574399.999999985,-26255100.00000002,159700.00000001164,601689
20200326,,0.0,-38589700.0,0.0,-10355800.000000007,-23778900.000000004,21121900.000000004,13012700.000000004,601689
20200327,,0.0,-5241799.999999999,0.0,1553299.9999999993,8755600.0,22776299.999999993,-33085000.0,601689
20200330,,0.0,-35586500.0,0.0,15948500.000000004,-4375500.000000002,-2534799.999999996,-9038199.999999996,601689
20200331,,0.0,19936500.0,0.0,26314600.0,-5846800.000000001,-9702399.999999998,-10765499.999999993,601689
20200401,,0.0,24665700.0,0.0,-26553599.999999996,14374800.0,-10532299.999999996,22711200.000000007,601689
20200402,,0.0,20238300.0,0.0,17345600.0,-4122000.0000000005,9763600.000000006,-22987399.999999996,601689
20200403,,0.0,-65271200.0,0.0,32444499.99999999,16119600.0,-17135600.000000015,-31428600.000000007,601689
20200407,,0.0,20595600.0,0.0,22132299.999999996,6349200.000000001,-3323700.000000008,-25157799.99999999,601689
20200408,,0.0,-51530400.0,0.0,12271899.999999996,-12412200.0,-10538600.000000006,10678800.00000001,601689
20200409,,0.0,-28913400.0,0.0,-11337500.0,-5675099.999999999,7164799.999999995,9847900.0,601689
20200410,,0.0,-18120100.0,0.0,5359399.999999996,342999.99999999953,-26738599.999999996,21036299.999999993,601689
20200413,,0.0,13522000.0,0.0,-10056299.999999996,7957400.0,10117100.0,-8018099.999999995,601689
20200414,,0.0,97193700.00000001,0.0,50333600.00000001,73957000.0,-40055299.999999985,-84235300.0,601689
20200415,,0.0,47387600.0,0.0,-1058299.9999999811,11176299.999999993,-12084099.999999998,1965999.9999999856,601689
20200416,,0.0,2294500.0,0.0,9215000.0,-7138900.000000001,16827200.00000001,-18903400.0,601689
20200417,,0.0,-16435100.0,0.0,30200199.999999985,23338399.999999996,-24413999.999999996,-29124500.000000007,601689
20200420,,0.0,109636100.0,0.0,-39252199.99999999,8265800.000000004,61715899.999999985,-30729400.000000004,601689
20200421,,0.0,-39743000.0,0.0,-710500.000000011,-10146599.999999998,-2836299.999999992,13693400.000000002,601689
20200422,,0.0,24474800.0,0.0,-2963699.999999999,-2292400.0,7620100.000000002,-2364099.9999999986,601689
20200423,,0.0,13512900.0,0.0,-338100.0000000131,13321900.0,7270699.999999997,-20254400.000000004,601689
20200424,,0.0,-12405400.0,0.0,8692400.000000017,11929799.999999998,-13192399.999999998,-7429799.999999995,601689
20200427,,0.0,17993400.0,0.0,18975999.999999996,7688100.000000002,5273999.999999996,-31938099.999999996,601689
20200428,,0.0,4254100.0,0.0,6664799.999999995,13541299.999999998,12789200.0,-32995399.99999999,601689
20200429,,0.0,24063500.0,0.0,-29399899.999999996,32302200.000000004,13889699.999999993,-16792000.000000007,601689
20200430,,0.0,50520700.0,0.0,6788999.999999996,-3401399.9999999944,-6020599.999999977,2632999.9999999925,601689
20200506,,0.0,-1571000.0,0.0,-3919400.000000005,-25818700.0,14018900.000000013,15719300.000000004,601689
20200507,,0.0,-46048500.0,0.0,7344099.999999998,28333399.999999996,-7205300.0000000065,-28472200.00000001,601689
20200508,,0.0,35353900.0,0.0,1342699.9999999953,-14948700.000000002,11281299.999999993,2324700.0000000116,601689
