date,close,pct_change,main_net_inflow,main_net_pct,big_net_inflow,super_big_net_inflow,medium_net_inflow,small_net_inflow,ticker
20200102,,0.0,152589000.0,0.0,-47732899.99999993,115911299.99999997,-7490800.000000018,-60687599.999999985,300033
20200103,,0.0,-65293200.0,0.0,-32210699.999999996,-11112100.000000028,17961500.000000015,25361299.999999974,300033
20200106,,0.0,174082200.0,0.0,-28331099.999999933,184148500.0,-80526500.00000001,-75290900.0,300033
20200107,,0.0,80217200.0,0.0,21845199.999999966,-176010799.99999997,62008800.00000001,92156600.00000001,300033
20200108,,0.0,-279023000.0,0.0,-51724599.99999999,-218448600.0,113084499.99999997,157088700.0,300033
20200109,,0.0,65227299.99999999,0.0,2927600.0000000205,20372999.999999993,-25317899.999999937,2017300.0000000321,300033
20200110,,0.0,-26627600.000000004,0.0,-13650600.000000013,-61468100.000000015,14655099.999999983,60463599.999999985,300033
20200113,,0.0,98370700.0,0.0,-17061199.999999955,1941800.0000000028,-22644399.99999995,37763799.99999999,300033
20200114,,0.0,-136175000.0,0.0,-14109300.000000004,-86338900.0,53042399.99999998,47405700.0,300033
20200115,,0.0,61782500.0,0.0,-168069400.00000003,-113087800.0,113596200.00000003,167561000.00000003,300033
20200116,,0.0,-61091600.0,0.0,-45273799.99999997,-31816500.000000004,33928999.99999998,43161299.99999999,300033
20200117,,0.0,103314100.0,0.0,12918600.000000006,83773699.99999999,-27670400.000000007,-69021900.00000003,300033
20200120,,0.0,137790300.0,0.0,7096699.999999982,17301100.000000007,-22352700.000000004,-2045100.000000002,300033
20200121,,0.0,-195685600.0,0.0,-49443200.0,-118995399.99999997,79175200.0,89263400.00000001,300033
20200122,,0.0,119200500.0,0.0,-37988000.00000003,-48773600.00000001,58874299.99999997,27887299.999999996,300033
20200123,,0.0,-84794100.0,0.0,-7886800.000000003,42640099.999999985,-37112200.000000015,2358900.0000000307,300033
20200203,,0.0,192118500.0,0.0,-46684700.0,9489200.0,4472799.999999997,32722599.999999996,300033
20200204,,0.0,-103580300.0,0.0,-128157799.99999999,-13835199.999999968,31368499.999999985,110624399.99999999,300033
20200205,,0.0,-7806300.0,0.0,-67650100.00000001,-39285000.0,53022399.99999998,53912700.00000001,300033
20200206,,0.0,230355800.00000003,0.0,31628600.000000007,3598300.0000000177,-27458199.999999996,-7768699.99999999,300033
20200207,,0.0,105161700.0,0.0,-46228200.0,10709799.999999996,10447099.99999999,25071400.00000001,300033
20200210,,0.0,-38458800.0,0.0,-21792299.99999996,6121199.99999999,26892000.000000007,-11220900.000000002,300033
20200211,,0.0,-51343200.0,0.0,-21510400.000000007,-16740400.00000001,11648499.999999985,26602300.000000015,300033
20200212,,0.0,332233900.0,0.0,116842699.99999997,19903000.00000003,-69839599.99999999,-66906199.99999999,300033
20200213,,0.0,58189100.0,0.0,41874099.99999996,-37203300.000000015,-41742399.99999998,37071700.00000002,300033
20200214,,0.0,47036200.0,0.0,-39674099.99999996,151951000.00000006,-81832799.99999999,-30444000.000000015,300033
20200217,,0.0,379770199.99999994,0.0,85852299.99999996,-177867700.00000003,88335799.99999994,3679700.0000000116,300033
20200218,,0.0,-183694300.0,0.0,-72445199.99999997,-182367800.0,123756400.0,131056600.00000003,300033
20200219,,0.0,14055400.0,0.0,7879200.000000055,-151243200.0,72964799.99999996,70399100.00000003,300033
20200220,,0.0,-194453400.0,0.0,-152367900.0,579030500.0,-280027700.00000006,-146634900.0,300033
20200221,,0.0,-434611700.0,0.0,-377417000.0,589923899.9999999,-176720200.00000003,-35786699.999999985,300033
20200224,,0.0,207671800.0,0.0,131937899.99999994,-358533599.9999999,195672000.00000003,30923799.999999974,300033
20200225,,0.0,-76434700.0,0.0,64723399.99999996,-417507899.99999994,181854199.99999997,170930500.00000003,300033
20200226,,0.0,-58503300.0,0.0,24540900.000000037,-302575400.0,138525800.00000003,139508700.00000003,300033
20200227,,0.0,303347900.0,0.0,-15611300.000000047,-54886600.00000004,43646100.00000001,26851700.00000002,300033
20200228,,0.0,-118308900.0,0.0,-49173800.000000045,-215236299.9999999,41726699.999999985,222683400.00000003,300033
