date,close,pct_change,main_net_inflow,main_net_pct,big_net_inflow,super_big_net_inflow,medium_net_inflow,small_net_inflow,ticker
20220421,,0.0,337517900.0,0.0,2604002900.0000005,4620811900.0,1081321800.0,-8306136600.0,600938
20220422,,0.0,997426600.0,0.0,297725099.99999994,1508276000.0,-189614799.99999997,-1616386400.0000002,600938
20220425,,0.0,-662150900.0,0.0,141402599.9999998,-1057658400.0,863409800.0000001,52846100.00000015,600938
20220426,,0.0,-37900800.0,0.0,115378999.99999994,-763200.0000000698,140688200.00000006,-255304100.00000003,600938
20220427,,0.0,516218100.0,0.0,163972500.0,455103399.99999994,-68316199.99999996,-550759700.0,600938
20220428,,0.0,293501900.0,0.0,62441300.000000045,-62616699.999999836,131965100.00000009,-131789700.00000001,600938
20220429,,0.0,428088000.0,0.0,152375699.9999998,647365700.0000004,-174001000.00000006,-625740400.0000001,600938
20220505,,0.0,-658220399.9999999,0.0,-95276099.99999987,-438569300.00000006,180645199.99999988,353200100.0000001,600938
20220506,,0.0,-470744100.00000006,0.0,-44529299.99999993,-465454299.99999994,196420000.0,313563600.0,600938
20220509,,0.0,47169700.0,0.0,11393300.000000017,190459499.99999997,-75830700.00000007,-126022099.99999993,600938
20220510,,0.0,-635538600.0,0.0,-191474700.0,-326145899.99999994,112997899.99999994,404622700.00000006,600938
20220511,,0.0,169895900.0,0.0,93311899.99999988,67935299.99999999,-6850799.9999998715,-154396400.0,600938
20220512,,0.0,-558499500.0,0.0,-63532500.0,-220914899.99999997,25728699.999999955,258718800.00000006,600938
20220513,,0.0,209803700.0,0.0,-2305799.9999999446,222168099.99999997,-62727899.99999993,-157134499.99999997,600938
20220516,,0.0,439331500.0,0.0,239049800.00000012,-39504800.00000003,5826499.999999942,-205371400.0,600938
20220517,,0.0,-202741800.0,0.0,-13820299.999999989,-4459300.000000003,27973200.00000007,-9693799.999999974,600938
20220518,,0.0,275908600.0,0.0,137298400.00000003,109398099.99999997,-80751400.0,-165945100.00000003,600938
20220519,,0.0,-352087200.0,0.0,-105115199.99999997,-35790600.000000015,4302000.000000044,136603800.00000006,600938
20220520,,0.0,-134311600.0,0.0,91074800.00000003,-516100.0000000058,-22812399.99999998,-67746299.99999997,600938
20220523,,0.0,372925300.0,0.0,-29715699.999999996,59528100.000000015,-35577299.99999996,5764899.9999999795,600938
20220524,,0.0,43218100.00000001,0.0,2761200.000000026,-19775299.99999999,12501600.000000035,4512400.000000016,600938
20220525,,0.0,379982200.0,0.0,-67966400.0,113599100.00000003,-131731199.99999996,86098399.99999997,600938
20220526,,0.0,7243700.0,0.0,-27688299.999999944,-63959400.00000002,97649800.00000003,-6002100.000000064,600938
20220527,,0.0,345841800.0,0.0,68179900.00000006,395550099.99999994,-37687799.999999985,-426042199.99999994,600938
20220530,,0.0,193084199.99999997,0.0,131678000.00000003,-203135900.00000012,-13129300.000000076,84587200.00000001,600938
20220531,,0.0,-386499300.0,0.0,53964799.99999996,17918700.000000026,-39984899.99999991,-31898600.000000007,600938
20220601,,0.0,-45347000.0,0.0,-33000599.999999978,-75493000.0,41877799.999999985,66615799.99999995,600938
20220602,,0.0,-313684500.0,0.0,-85320400.00000001,-140783600.00000003,77178099.99999997,148925900.00000003,600938
20220606,,0.0,66784100.0,0.0,-65882200.000000015,-141285000.00000003,72297600.00000001,134869600.00000006,600938
20220607,,0.0,72423600.0,0.0,-73074399.99999996,52084900.000000015,38468899.99999999,-17479300.000000004,600938
20220608,,0.0,18858000.0,0.0,101311100.0,1672500.0,12410199.999999968,-115393700.00000003,600938
20220609,,0.0,38392000.0,0.0,112227399.99999991,-54862100.00000007,-81968699.99999996,24603399.999999966,600938
20220610,,0.0,167132800.0,0.0,68686100.0,-45807800.00000002,95255000.0,-118133300.00000001,600938
20220613,,0.0,-260580900.0,0.0,-97513000.00000003,-115820500.0,82539500.00000004,130794000.00000001,600938
20220614,,0.0,334291400.0,0.0,-3287500.0,125541400.00000003,-5074599.999999992,-117179300.0,600938
20220615,,0.0,-567391900.0,0.0,-7266500.000000015,-303571199.99999994,84451900.00000003,226385899.99999997,600938
20220616,,0.0,-410307900.0,0.0,48624199.999999985,-296909099.99999994,77324400.00000003,170960499.99999997,600938
