date,close,open,high,low,pct_change,volume
2022-06-24,89.07,96.28,99.67,82.4,48.3017,242084.44
2022-06-27,100.72,90.5,105.88,88.8,13.0796,168538.85
2022-06-28,103.53,101.08,106.63,97.74,2.7899,136532.85
2022-06-29,91.15,100.0,100.77,91.0,-11.9579,118443.71
2022-06-30,92.15,92.2,93.05,88.02,1.0971,80043.24
2022-07-01,91.64,91.5,92.96,88.5,-0.5534,58107.03
2022-07-04,90.94,91.0,92.45,86.66,-0.7639,57203.59
2022-07-05,92.0,91.01,94.49,89.88,1.1656,56038.52
2022-07-06,88.9,91.0,94.69,88.81,-3.3696,51620.26
2022-07-07,85.16,88.0,88.49,84.48,-4.207,52497.81
2022-07-08,86.0,85.8,88.44,85.2,0.9864,39056.16
2022-07-11,89.09,86.92,90.56,85.62,3.593,40540.61
2022-07-12,83.74,88.42,89.3,83.64,-6.0052,40060.96
2022-07-13,80.12,83.01,83.65,79.29,-4.3229,41256.15
2022-07-14,80.55,79.35,81.64,78.85,0.5367,24082.94
2022-07-15,80.58,79.76,82.27,79.18,0.0372,24601.79
2022-07-18,82.5,80.49,84.5,79.88,2.3827,26086.04
2022-07-19,83.28,82.01,83.88,80.9,0.9455,21858.19
2022-07-20,83.9,84.78,86.48,83.6,0.7445,26851.03
2022-07-21,82.61,83.9,85.77,82.01,-1.5375,24972.63
2022-07-22,81.61,82.3,82.98,80.29,-1.2105,19747.77
2022-07-25,85.19,80.96,85.5,80.48,4.3867,27885.41
2022-07-26,86.4,85.21,87.3,84.16,1.4204,23808.58
2022-07-27,83.53,85.99,86.36,83.44,-3.3218,24035.64
2022-07-28,87.29,83.8,89.49,83.8,4.5014,37119.0
2022-07-29,84.83,86.55,87.75,84.3,-2.8182,25552.46
2022-08-01,84.05,85.2,85.2,82.2,-0.9195,18493.18
2022-08-02,82.04,82.23,85.77,80.3,-2.3914,29007.95
2022-08-03,87.71,83.0,92.29,82.55,6.9113,59129.69
2022-08-04,89.7,88.17,91.71,87.88,2.2688,54287.54
2022-08-05,107.64,90.0,107.64,89.7,20.0,104556.11
2022-08-08,97.78,103.64,105.8,95.18,-9.1602,80639.12
2022-08-09,97.38,97.57,98.5,94.08,-0.4091,42222.97
2022-08-10,95.52,96.0,98.22,95.0,-1.91,38335.13
2022-08-11,96.37,95.5,97.9,94.7,0.8899,31520.86
2022-08-12,90.22,96.2,97.7,90.07,-6.3817,49428.34
2022-08-15,90.65,90.25,93.27,89.21,0.4766,36166.2
2022-08-16,89.99,90.0,91.5,89.5,-0.7281,22080.55
2022-08-17,88.26,89.75,90.29,87.66,-1.9224,24239.0
2022-08-18,89.0,88.07,90.54,87.41,0.8384,26116.99
2022-08-19,88.5,89.0,90.88,88.5,-0.5618,24955.86
2022-08-22,85.85,88.01,88.37,84.3,-2.9944,27130.54
2022-08-23,86.08,85.02,86.65,84.8,0.2679,14877.98
2022-08-24,81.6,86.08,86.16,81.6,-5.2045,27078.22
2022-08-25,83.22,81.8,83.79,80.0,1.9853,22449.55
2022-08-26,81.26,83.0,83.79,80.82,-2.3552,13976.3
2022-08-29,81.46,79.5,82.88,79.0,0.2461,11652.26
2022-08-30,83.9,81.5,84.4,80.5,2.9953,18013.61
2022-08-31,73.84,78.0,79.49,73.6,-11.9905,43860.96
2022-09-01,78.0,77.61,83.5,77.61,5.6338,48709.9
2022-09-02,81.44,77.58,85.6,76.0,4.4103,43422.42
2022-09-05,78.24,80.32,80.58,78.03,-3.9293,24285.33
2022-09-06,78.03,78.51,79.39,77.47,-0.2684,15263.58
2022-09-07,81.16,78.87,82.97,78.4,4.0113,28118.54
2022-09-08,81.28,81.16,81.85,80.36,0.1479,14237.79
2022-09-09,80.3,81.85,81.88,78.43,-1.2057,12675.57
2022-09-13,80.32,80.3,82.43,80.0,0.0249,12314.51
2022-09-14,81.29,78.6,82.17,78.58,1.2077,18288.96
2022-09-15,77.81,81.47,81.55,77.07,-4.281,21488.54
2022-09-16,81.03,77.07,83.97,77.07,4.1383,41306.66
2022-09-19,78.65,81.8,83.3,78.2,-2.9372,27271.59
2022-09-20,78.69,78.19,79.34,77.18,0.0509,18290.29
2022-09-21,77.95,77.71,79.44,77.0,-0.9404,14777.98
2022-09-22,82.03,77.7,83.93,77.7,5.2341,32653.33
2022-09-23,80.08,82.06,82.58,78.0,-2.3772,22356.46
2022-09-26,77.93,79.1,80.79,77.25,-2.6848,14795.68
2022-09-27,80.2,77.96,80.2,77.9,2.9129,16145.55
2022-09-28,75.84,80.0,80.0,75.77,-5.4364,19757.66
2022-09-29,74.86,76.45,76.7,74.26,-1.2922,15075.42
2022-09-30,70.58,74.86,75.2,70.0,-5.7173,18173.14
2022-10-10,67.93,71.87,71.87,67.73,-3.7546,13489.58
2022-10-11,68.48,68.48,69.3,66.42,0.8097,10766.37
2022-10-12,80.0,69.0,82.18,68.21,16.8224,45050.63
2022-10-13,82.28,79.18,84.68,77.88,2.85,45706.87
2022-10-14,81.95,82.6,83.0,79.42,-0.4011,29742.11
2022-10-17,82.71,81.85,84.88,80.6,0.9274,28019.97
2022-10-18,81.74,82.67,83.05,80.51,-1.1728,22289.47
2022-10-19,80.58,80.81,83.6,80.31,-1.4191,18926.73
2022-10-20,87.14,80.45,87.35,79.89,8.141,53594.0
2022-10-21,86.1,85.83,86.6,83.5,-1.1935,27382.08
2022-10-24,87.5,85.0,90.95,84.51,1.626,37051.61
2022-10-25,91.7,86.15,95.3,85.9,4.8,46727.07
2022-10-26,93.61,91.6,96.0,90.0,2.0829,38272.97
2022-10-27,90.0,92.75,93.96,89.08,-3.8564,40155.95
2022-10-28,86.87,87.02,92.33,86.5,-3.4778,33427.68
2022-10-31,91.88,88.0,93.6,88.0,5.7672,39560.52
2022-11-01,90.11,91.85,91.85,88.5,-1.9264,29648.14
2022-11-02,89.35,88.8,92.29,87.87,-0.8434,27629.66
2022-11-03,88.92,88.01,91.46,88.01,-0.4813,24016.76
2022-11-04,88.1,88.7,90.0,86.75,-0.9222,30231.18
2022-11-07,88.67,90.0,92.8,87.77,0.647,31246.43
2022-11-08,89.95,87.97,90.93,87.12,1.4436,27364.12
2022-11-09,85.91,89.95,90.3,85.9,-4.4914,28525.22
2022-11-10,84.5,85.78,86.73,84.2,-1.6413,18602.24
2022-11-11,85.2,86.5,88.2,84.68,0.8284,21225.28
2022-11-14,83.52,84.77,84.77,81.88,-1.9718,25011.63
2022-11-15,87.49,83.6,88.5,83.09,4.7534,28159.84
2022-11-16,88.88,87.05,89.49,86.77,1.5888,20653.68
2022-11-17,92.87,88.2,93.12,86.5,4.4892,31986.32
2022-11-18,88.8,91.5,92.26,88.5,-4.3825,22979.58
2022-11-21,88.15,87.52,89.96,87.0,-0.732,10387.69
2022-11-22,85.36,88.71,88.72,84.88,-3.1651,17206.28
2022-11-23,85.59,85.5,86.4,83.28,0.2694,11644.29
