date,close,open,high,low,pct_change
2020-01-02,117.0,115.29,118.77,112.9,2.2817
2020-01-03,115.65,117.0,118.0,114.01,-1.1538
2020-01-06,115.26,116.0,117.48,114.68,-0.3372
2020-01-07,117.6,115.9,118.66,114.19,2.0302
2020-01-08,117.5,116.9,119.0,114.06,-0.085
2020-01-09,121.38,117.74,122.42,117.6,3.3021
2020-01-10,126.48,125.03,129.7,124.23,4.2017
2020-01-13,127.7,126.98,128.21,125.39,0.9646
2020-01-14,124.99,129.0,131.0,124.75,-2.1222
2020-01-15,125.35,125.5,126.6,123.18,0.288
2020-01-16,127.49,126.5,128.81,125.1,1.7072
2020-01-17,132.01,128.89,134.63,127.7,3.5454
2020-01-20,145.21,130.21,145.21,129.01,9.9992
2020-01-21,148.96,145.0,151.19,142.0,2.5825
2020-01-22,154.0,145.0,157.98,145.0,3.3835
2020-01-23,154.0,152.0,162.78,150.11,0.0
2020-02-03,145.35,141.0,154.0,140.1,-5.6169
2020-02-04,156.51,148.99,159.4,146.8,7.678
2020-02-05,163.0,156.0,169.98,154.11,4.1467
2020-02-06,179.3,162.0,179.3,161.02,10.0
2020-02-07,184.0,180.08,187.0,172.25,2.6213
2020-02-10,180.0,186.1,192.0,172.01,-2.1739
2020-02-11,178.0,178.0,188.0,174.6,-1.1111
2020-02-12,194.6,181.2,194.6,177.33,9.3258
2020-02-13,190.98,191.08,200.0,186.59,-1.8602
2020-02-14,184.2,187.31,193.4,180.0,-3.5501
2020-02-17,193.98,190.0,198.78,189.12,5.3094
2020-02-18,197.16,194.17,198.1,192.08,1.6393
2020-02-19,190.68,197.53,197.53,189.44,-3.2867
2020-02-20,191.6,190.07,194.68,188.31,0.4825
2020-02-21,205.07,192.62,210.76,190.56,7.0303
2020-02-24,212.83,206.51,216.8,200.01,3.7841
2020-02-25,209.51,208.11,223.1,201.79,-1.5599
2020-02-26,188.56,206.05,207.87,188.56,-9.9995
2020-02-27,195.42,188.11,207.0,188.11,3.6381
2020-02-28,199.2,190.0,208.83,190.0,1.9343
2020-03-02,202.0,204.01,209.0,194.9,1.4056
2020-03-03,211.0,205.0,221.5,204.2,4.4554
2020-03-04,208.0,208.0,217.98,204.68,-1.4218
2020-03-05,190.8,211.02,213.0,187.2,-8.2692
2020-03-06,189.37,185.65,193.5,185.38,-0.7495
2020-03-09,180.1,186.5,189.2,180.1,-4.8952
2020-03-10,188.99,184.0,189.3,176.12,4.9361
2020-03-11,179.99,188.0,190.67,179.99,-4.7622
2020-03-12,176.35,176.98,179.97,172.04,-2.0223
2020-03-13,178.0,171.63,181.6,170.03,0.9356
2020-03-16,165.39,181.0,181.91,165.0,-7.0843
2020-03-17,171.97,170.0,174.97,162.0,3.9785
2020-03-18,173.0,175.67,178.66,169.62,0.5989
2020-03-19,175.31,173.0,176.0,164.91,1.3353
2020-03-20,174.85,181.0,182.0,171.5,-0.2624
2020-03-23,160.99,168.79,170.5,158.88,-7.9268
2020-03-24,166.8,167.27,167.93,159.0,3.6089
2020-03-25,170.1,171.0,174.32,166.0,1.9784
2020-03-26,168.0,169.0,175.0,167.5,-1.2346
2020-03-27,160.69,172.0,172.0,160.05,-4.3512
2020-03-30,151.24,156.94,158.5,148.0,-5.8809
2020-03-31,158.06,153.87,159.68,152.09,4.5094
2020-04-01,159.76,157.96,163.18,156.01,1.0755
2020-04-02,167.83,161.0,168.0,158.02,5.0513
2020-04-03,166.93,167.05,168.89,165.22,-0.5363
2020-04-07,168.17,169.96,171.68,166.55,0.7428
2020-04-08,166.98,166.0,168.95,165.5,-0.7076
2020-04-09,166.5,168.0,169.78,164.5,-0.2875
2020-04-10,166.0,160.01,168.48,154.4,-0.3003
2020-04-13,156.98,163.62,164.72,155.16,-5.4337
2020-04-14,166.26,159.29,168.0,157.5,5.9116
2020-04-15,160.0,166.26,167.5,159.45,-3.7652
2020-04-16,167.0,161.31,167.75,160.0,4.375
2020-04-17,174.8,167.8,179.28,167.78,4.6707
2020-04-20,171.78,174.8,175.84,169.12,-1.7277
2020-04-21,174.55,170.65,174.8,169.55,1.6125
2020-04-22,175.5,174.0,176.74,172.0,0.5443
2020-04-23,172.9,176.7,181.0,170.9,-1.4815
2020-04-24,175.0,171.98,175.93,171.02,1.2146
2020-04-27,174.2,173.2,177.71,167.96,-0.4571
2020-04-28,182.69,175.08,184.8,170.97,4.8737
2020-04-29,182.75,181.98,184.49,180.51,0.0328
2020-04-30,191.52,181.81,198.39,181.81,4.7989
2020-05-06,191.3,193.99,193.99,187.5,-0.1149
2020-05-07,190.28,192.98,192.98,187.0,-0.5332
2020-05-08,191.18,190.98,193.9,188.29,0.473
2020-05-11,189.18,189.99,195.85,186.67,-1.0461
2020-05-12,191.11,189.18,192.75,186.51,1.0202
2020-05-13,189.38,191.92,193.12,188.0,-0.9052
2020-05-14,184.36,188.5,189.0,183.5,-2.6508
2020-05-15,185.45,186.0,188.35,181.51,0.5912
2020-05-18,187.65,183.99,192.1,182.6,1.1863
2020-05-19,198.3,189.7,199.36,188.53,5.6755
2020-05-20,194.9,199.0,202.0,193.2,-1.7146
2020-05-21,186.9,196.89,196.9,186.08,-4.1047
2020-05-22,180.68,187.1,188.73,180.2,-3.328
2020-05-25,179.5,182.7,183.33,175.7,-0.6531
2020-05-26,190.0,180.88,192.51,180.86,5.8496
2020-05-27,178.9,188.43,189.0,177.7,-5.8421
2020-05-28,178.0,177.99,182.2,175.55,-0.3973
2020-05-29,188.03,178.3,192.0,178.3,5.6348
2020-06-01,190.0,190.0,191.55,185.06,1.0477
2020-06-02,182.88,190.0,190.0,171.0,-3.7474
2020-06-03,183.47,177.0,185.3,176.93,0.3226
2020-06-04,181.05,182.29,184.25,179.55,-1.319
2020-06-05,178.5,179.7,181.57,176.6,-1.4085
2020-06-08,174.6,179.46,180.8,174.5,-2.1849
2020-06-09,175.86,174.6,177.31,170.71,0.7216
2020-06-10,176.13,176.1,176.92,173.0,0.1535
2020-06-11,174.99,175.63,179.92,173.0,-0.6472
2020-06-12,172.8,172.0,175.5,170.78,-1.2515
2020-06-15,178.27,174.23,182.79,172.33,3.1655
2020-06-16,178.6,180.18,181.0,176.52,0.1851
2020-06-17,174.9,177.71,179.01,170.0,-2.0717
2020-06-18,180.0,175.51,180.6,175.43,2.916
2020-06-19,180.8,179.73,181.58,178.58,0.4444
2020-06-22,179.63,182.0,185.08,179.0,-0.6471
2020-06-23,188.95,177.89,191.0,177.33,5.1884
2020-06-24,189.76,191.0,195.35,187.2,0.4287
2020-06-29,192.88,189.76,193.84,188.76,1.6442
2020-06-30,205.96,190.12,211.8,190.12,6.7814
2020-07-01,198.0,209.0,210.0,193.61,-3.8648
2020-07-02,191.63,197.31,199.5,189.0,-3.2172
2020-07-03,193.53,192.2,201.33,192.1,0.9915
2020-07-06,196.0,194.02,199.98,192.98,1.2763
2020-07-07,215.6,197.0,215.6,197.0,10.0
2020-07-08,219.38,216.0,219.86,212.0,1.7532
2020-07-09,233.16,219.0,240.8,218.25,6.2813
2020-07-10,237.1,229.66,244.23,227.0,1.6898
2020-07-13,238.02,229.01,242.25,229.0,0.388
2020-07-14,233.5,236.0,244.98,230.0,-1.899
2020-07-15,243.81,233.8,253.98,231.8,4.4154
2020-07-16,225.17,241.02,254.88,222.0,-7.6453
2020-07-17,225.32,230.67,232.0,219.0,0.0666
2020-07-20,222.98,230.0,230.98,211.0,-1.0385
2020-07-21,222.34,219.54,228.85,218.88,-0.287
2020-07-22,232.06,221.63,240.88,220.52,4.3717
2020-07-23,230.11,229.98,234.76,221.0,-0.8403
