date,close,open,high,low,pct_change,volume
2020-01-02,25.26,25.0,25.61,24.53,0.4773,174366.15
2020-01-03,24.95,26.04,27.39,24.71,-1.2272,182204.67
2020-01-06,25.75,25.18,26.94,25.06,3.2064,212177.26
2020-01-07,25.8,25.74,26.29,25.3,0.1942,122961.01
2020-01-08,25.08,25.61,26.56,24.78,-2.7907,172778.37
2020-01-09,25.84,25.52,26.4,25.0,3.0303,150995.44
2020-01-10,26.45,25.77,27.32,25.59,2.3607,157787.47
2020-01-13,26.33,27.02,27.83,25.74,-0.4537,136294.99
2020-01-14,27.13,26.7,28.44,26.23,3.0384,200301.52
2020-01-15,24.7,26.7,26.9,24.47,-8.9569,201411.79
2020-01-16,24.7,24.72,25.28,24.49,0.0,102101.97
2020-01-17,24.48,24.95,24.95,24.2,-0.8907,87153.99
2020-01-20,24.65,24.41,24.85,23.5,0.6944,106724.56
2020-01-21,23.8,24.64,24.79,23.8,-3.4483,80864.53
2020-01-22,24.3,23.8,24.8,23.45,2.1008,107380.44
2020-01-23,21.87,21.87,21.87,21.87,-10.0,17328.0
2020-02-03,19.68,19.68,19.68,19.68,-10.0137,2143.0
2020-02-04,18.04,17.71,18.6,17.71,-8.3333,312746.28
2020-02-05,18.96,18.22,19.79,17.86,5.0998,232933.48
2020-02-06,18.69,18.2,19.06,18.14,-1.4241,155241.29
2020-02-07,18.15,18.62,18.65,17.55,-2.8892,145526.32
2020-02-10,18.85,18.24,18.92,18.19,3.8567,134677.17
2020-02-11,18.85,18.83,19.49,18.65,0.0,129921.05
2020-02-12,20.74,18.83,20.74,18.51,10.0265,172458.69
2020-02-13,21.77,21.28,22.31,21.0,4.9662,263146.28
2020-02-14,21.33,21.57,22.09,20.96,-2.0211,164462.79
2020-02-17,21.45,21.02,21.57,21.02,0.5626,112656.43
2020-02-18,22.1,21.41,22.46,21.25,3.0303,142689.36
2020-02-19,21.98,22.79,23.0,21.62,-0.543,135354.72
2020-02-20,22.41,21.98,22.8,21.83,1.9563,119245.29
2020-02-21,22.0,22.13,22.46,21.92,-1.8295,103951.89
2020-02-24,21.6,21.75,21.8,21.02,-1.8182,125639.44
2020-02-25,22.08,21.4,22.47,20.5,2.2222,175314.93
2020-02-26,20.72,21.4,21.88,20.6,-6.1594,114567.56
2020-02-27,20.61,21.03,21.18,20.22,-0.5309,75116.06
2020-02-28,19.15,19.76,20.15,18.98,-7.0839,83023.0
2020-03-02,19.34,18.95,19.69,18.95,0.9922,74267.0
2020-03-03,19.39,19.61,20.18,19.1,0.2585,72959.02
2020-03-04,19.24,19.3,19.45,18.83,-0.7736,57670.43
2020-03-05,19.3,19.42,19.52,19.0,0.3119,56271.73
2020-03-06,19.08,19.02,19.6,18.9,-1.1399,57908.83
2020-03-09,18.16,18.8,18.86,18.16,-4.8218,60992.82
2020-03-10,18.61,17.73,18.65,17.5,2.478,57487.95
2020-03-11,18.31,18.73,18.87,18.31,-1.612,45845.39
2020-03-12,17.98,18.11,18.13,17.69,-1.8023,41336.01
2020-03-13,17.55,17.07,17.79,16.8,-2.3915,60707.99
2020-03-16,16.85,17.69,17.99,16.6,-3.9886,57472.91
2020-03-17,16.38,16.8,17.18,15.7,-2.7893,59901.93
2020-03-18,15.98,16.55,17.18,15.9,-2.442,57779.79
2020-03-19,15.75,16.01,16.19,15.3,-1.4393,57891.87
2020-03-20,16.17,16.09,16.38,15.78,2.6667,54027.24
2020-03-23,15.34,15.75,16.0,15.2,-5.133,42069.0
2020-03-24,15.72,15.58,15.87,15.21,2.4772,40970.77
2020-03-25,16.34,16.01,16.5,16.01,3.944,51923.5
2020-03-26,16.0,16.16,16.25,15.95,-2.0808,32639.0
2020-03-27,15.71,16.14,16.27,15.68,-1.8125,28868.3
2020-03-30,16.98,15.4,17.28,15.28,8.084,88660.37
2020-03-31,16.84,16.69,17.49,16.66,-0.8245,60323.82
2020-04-01,17.09,16.86,17.6,16.86,1.4846,69599.32
2020-04-02,16.58,16.79,17.0,16.44,-2.9842,48564.65
2020-04-03,16.06,16.5,16.78,16.0,-3.1363,41710.98
2020-04-07,16.19,16.4,16.44,16.03,0.8095,45456.14
2020-04-08,16.08,16.19,16.19,15.76,-0.6794,39685.34
2020-04-09,16.05,16.14,16.35,15.98,-0.1866,29528.15
2020-04-10,15.68,16.04,16.24,15.5,-2.3053,32771.82
2020-04-13,15.36,15.51,15.51,15.24,-2.0408,21393.0
2020-04-14,15.89,15.44,15.94,15.39,3.4505,35158.5
2020-04-15,15.92,16.0,16.29,15.75,0.1888,32641.67
2020-04-16,15.62,15.92,16.08,15.6,-1.8844,24613.0
2020-04-17,15.51,15.62,15.88,15.43,-0.7042,35116.55
2020-04-20,15.37,15.36,15.48,15.02,-0.9026,35473.0
2020-04-22,14.6,14.6,14.6,14.6,-5.0098,6990.0
2020-04-23,13.98,13.87,14.56,13.87,-4.2466,142551.62
2020-04-24,13.28,13.85,14.0,13.28,-5.0072,66193.0
2020-04-27,13.77,13.28,13.94,12.71,3.6898,69949.41
2020-04-28,13.48,13.8,13.93,13.26,-2.106,37123.68
2020-04-29,13.04,13.35,13.58,12.92,-3.2641,35571.01
2020-04-30,13.58,13.18,13.65,13.15,4.1411,34979.01
2020-05-06,14.11,13.48,14.17,13.48,3.9028,33962.27
2020-05-07,14.1,14.11,14.48,14.0,-0.0709,26348.0
2020-05-08,14.81,14.1,14.81,14.05,5.0355,46313.34
2020-05-11,15.55,14.81,15.55,14.55,4.9966,54028.77
2020-05-12,15.75,15.51,16.2,15.42,1.2862,43680.66
2020-05-13,16.17,15.6,16.18,15.5,2.6667,31395.01
2020-05-14,15.65,16.06,16.65,15.61,-3.2158,39799.0
2020-05-15,15.8,15.6,15.93,15.51,0.9585,25198.38
2020-05-18,15.82,15.83,16.1,15.61,0.1266,18768.01
2020-05-19,16.4,15.9,16.5,15.82,3.6662,36674.09
