date,close,open,high,low,pct_change,volume
2022-04-01,79.6,88.0,88.0,75.38,-1.4851,171068.58
2022-04-06,74.25,79.81,79.88,71.12,-6.7211,71806.08
2022-04-07,69.67,72.98,73.01,69.05,-6.1684,59818.59
2022-04-08,64.64,69.2,70.5,63.95,-7.2198,64148.91
2022-04-11,62.2,63.18,63.99,60.2,-3.7748,45008.3
2022-04-12,68.01,61.55,68.64,61.53,9.3408,48851.31
2022-04-13,69.99,67.33,70.86,66.31,2.9113,38028.54
2022-04-14,68.97,69.99,71.93,67.67,-1.4574,27359.61
2022-04-15,69.04,67.0,70.43,66.38,0.1015,25810.4
2022-04-18,74.6,68.0,75.02,67.68,8.0533,28888.18
2022-04-19,73.25,73.11,74.82,72.27,-1.8097,15801.22
2022-04-20,74.2,73.33,74.5,71.5,1.2969,16688.34
2022-04-21,75.2,73.81,76.46,72.38,1.3477,17635.75
2022-04-22,68.5,74.8,74.99,67.67,-8.9096,24653.42
2022-04-25,67.78,66.91,70.95,65.11,-1.0511,18827.43
2022-04-26,69.3,67.78,72.47,66.01,2.2425,18389.35
2022-04-27,71.45,68.11,73.14,67.06,3.1025,19156.01
2022-04-28,68.7,71.05,71.18,67.39,-3.8488,16091.66
2022-04-29,73.37,68.7,74.7,68.7,6.7977,16047.95
2022-05-05,70.88,72.2,73.75,70.88,-3.3938,19049.38
2022-05-06,66.8,68.81,69.87,66.73,-5.7562,19935.91
2022-05-09,67.58,66.96,68.1,65.5,1.1677,10199.91
2022-05-10,71.23,66.41,72.4,65.69,5.401,20371.81
2022-05-11,74.52,71.18,77.8,70.5,4.6188,27192.32
2022-05-12,82.15,74.48,82.15,73.99,10.2389,36648.5
2022-05-13,81.05,81.19,82.0,79.39,-1.339,17776.9
2022-05-16,79.37,81.25,82.87,78.26,-2.0728,12064.74
2022-05-17,80.74,79.28,81.77,78.53,1.7261,15878.29
2022-05-18,78.13,80.12,81.23,77.05,-3.2326,19228.5
2022-05-19,78.12,77.06,80.77,76.28,-0.0128,21263.94
2022-05-20,80.08,78.09,81.38,76.5,2.509,18443.77
2022-05-23,81.68,80.0,83.88,79.07,1.998,18946.08
2022-05-24,75.18,81.4,81.68,74.53,-7.9579,25303.49
2022-05-25,75.79,75.35,76.44,73.6,0.8114,14566.17
2022-05-26,75.5,75.32,77.31,74.87,-0.3826,12748.73
2022-05-27,76.01,75.6,77.33,74.74,0.6755,10385.43
2022-05-30,85.17,76.54,86.18,76.54,12.051,29634.36
2022-05-31,88.1,85.03,89.75,84.53,3.4402,28042.8
2022-06-01,89.2,87.0,90.21,86.33,1.2486,17074.33
2022-06-02,91.37,89.8,92.87,88.03,2.4327,24524.03
2022-06-06,98.5,94.88,102.7,92.32,7.8034,42545.81
2022-06-07,99.44,97.14,101.46,96.0,0.9543,25052.18
2022-06-08,98.4,99.4,103.88,96.9,-1.0459,24137.76
2022-06-09,94.5,98.49,101.85,94.5,-3.9634,23750.91
2022-06-10,97.0,93.5,97.3,92.91,2.6455,20611.1
2022-06-13,95.74,96.85,99.74,95.0,-1.299,15962.46
2022-06-14,92.5,94.88,94.88,89.27,-3.3842,21339.21
2022-06-15,92.03,92.5,97.85,91.87,-0.5081,17640.07
2022-06-16,94.29,92.16,95.96,92.0,2.4557,13309.1
2022-06-17,95.38,92.54,97.0,92.34,1.156,14250.2
2022-06-20,96.36,96.8,98.7,92.01,1.0275,16232.77
2022-06-21,99.5,96.05,104.99,94.08,3.2586,20628.99
2022-06-22,105.6,100.5,109.0,100.5,6.1307,28658.96
2022-06-23,111.21,105.0,113.31,102.0,5.3125,29112.46
2022-06-24,111.5,108.93,113.38,107.05,0.2608,18772.93
2022-06-27,110.61,112.5,115.77,109.28,-0.7982,17155.35
2022-06-28,114.0,110.85,114.86,108.18,3.0648,16146.53
2022-06-29,110.16,112.0,115.7,109.79,-3.3684,14633.0
2022-06-30,121.68,111.06,122.8,111.06,10.4575,19535.33
2022-07-01,119.25,121.05,124.84,117.5,-1.997,13399.89
2022-07-04,118.3,119.7,119.8,113.0,-0.7966,14853.67
2022-07-05,113.0,118.45,120.8,111.5,-4.4801,19282.57
2022-07-06,113.77,113.0,116.88,111.6,0.6814,11496.46
2022-07-07,122.01,116.1,123.69,114.5,7.2427,16346.85
2022-07-08,122.42,123.0,126.5,120.02,0.336,13049.06
2022-07-11,121.37,121.5,122.71,118.0,-0.8577,14657.46
2022-07-12,110.02,120.8,120.8,109.5,-9.3516,23351.37
2022-07-13,110.22,109.19,112.8,104.8,0.6392,18906.85
2022-07-14,114.38,111.0,117.52,109.66,3.7743,12790.17
2022-07-15,114.38,114.38,119.25,113.0,0.0,10762.36
2022-07-18,125.65,114.57,125.99,112.5,9.8531,17873.04
2022-07-19,127.15,125.01,128.49,122.0,1.1938,12579.87
2022-07-20,123.4,127.14,129.08,122.14,-2.9493,11190.64
2022-07-21,129.4,122.68,135.0,122.19,4.8622,20816.02
2022-07-22,131.87,128.48,134.0,127.35,1.9088,12426.2
2022-07-25,140.49,130.6,143.5,130.12,6.5367,16324.8
2022-07-26,141.8,140.49,147.0,137.88,0.9325,13132.76
2022-07-27,140.5,140.0,143.54,138.0,-0.9168,9802.38
2022-07-28,150.0,140.69,150.37,140.69,6.7616,17971.64
2022-07-29,141.28,148.41,154.5,138.28,-5.8133,24943.25
2022-08-01,141.99,141.98,146.71,136.74,0.5025,17189.52
2022-08-02,156.3,141.9,163.0,137.0,10.0782,29275.06
2022-08-03,151.52,157.57,163.3,148.0,-3.0582,31262.17
2022-08-04,153.04,152.87,153.98,147.5,1.0032,16442.3
2022-08-05,148.7,153.0,154.6,146.2,-2.8359,22744.11
2022-08-08,147.12,148.6,149.55,139.15,-1.0625,20035.6
2022-08-09,149.49,150.04,150.87,142.0,1.6109,16518.6
2022-08-10,145.0,147.02,152.61,144.0,-3.0035,15254.19
2022-08-11,157.5,146.9,161.84,146.9,8.6207,23599.17
2022-08-12,140.88,157.11,158.0,140.15,-10.5524,24895.95
2022-08-15,142.0,139.88,144.9,138.0,0.795,13275.99
2022-08-16,135.8,136.3,144.55,133.53,-4.3662,31428.51
2022-08-17,138.3,136.23,141.78,134.14,1.8409,21138.17
2022-08-18,145.6,134.0,148.0,134.0,5.2784,19986.27
2022-08-19,138.0,147.49,151.0,137.55,-5.2198,21655.57
2022-08-22,138.16,137.33,141.88,135.5,0.1159,13150.29
2022-08-23,144.3,137.46,149.77,136.02,4.4441,17507.86
2022-08-24,135.0,144.3,145.0,134.18,-6.4449,16954.97
2022-08-25,127.86,136.0,137.72,126.31,-5.2889,20669.35
2022-08-26,124.05,128.5,130.86,123.2,-2.9798,15882.31
2022-08-29,129.38,120.27,135.0,119.11,4.2967,20491.96
2022-08-30,126.22,128.06,129.96,125.66,-2.4424,11150.18
2022-08-31,119.3,126.22,127.55,118.22,-5.4825,14136.04
2022-09-01,117.44,119.46,121.75,117.0,-1.5591,8064.74
2022-09-02,122.16,117.75,123.76,117.58,4.0191,10252.15
2022-09-05,120.52,121.8,122.5,116.18,-1.3425,14636.94
2022-09-06,128.62,122.94,131.0,122.94,6.7209,20326.04
2022-09-07,138.97,126.9,142.0,126.9,8.047,23147.9
2022-09-08,138.99,137.59,141.47,137.5,0.0144,13273.18
2022-09-09,130.45,139.59,140.57,129.5,-6.1443,17197.95
2022-09-13,125.4,130.18,133.99,122.0,-3.8712,24431.26
2022-09-14,130.24,123.06,131.98,122.98,3.8596,17477.09
2022-09-15,119.93,129.04,131.27,119.05,-7.9162,16619.14
2022-09-16,117.73,120.16,121.7,117.73,-1.8344,12468.81
2022-09-19,118.41,116.8,121.8,116.0,0.5776,13323.91
2022-09-20,119.14,119.51,121.28,115.4,0.6165,10392.04
2022-09-21,115.31,118.0,120.0,115.08,-3.2147,9518.95
2022-09-22,116.65,115.54,118.48,111.54,1.1621,13198.89
2022-09-23,109.49,115.5,116.77,107.96,-6.138,22168.57
2022-09-26,110.38,109.2,113.59,108.14,0.8129,12263.86
2022-09-27,113.78,111.59,114.36,110.59,3.0803,12748.1
2022-09-28,108.2,114.03,115.5,108.0,-4.9042,11494.92
2022-09-29,113.81,109.13,115.0,108.8,5.1848,12440.38
2022-09-30,108.5,114.13,114.17,108.3,-4.6657,11506.71
2022-10-10,96.09,106.86,106.86,95.62,-11.4378,28852.42
2022-10-11,97.51,96.27,100.53,95.47,1.4778,11160.45
2022-10-12,106.99,98.33,107.48,96.14,9.7221,19492.25
2022-10-13,103.88,105.51,110.8,103.46,-2.9068,14457.1
2022-10-14,107.4,106.5,108.1,101.83,3.3885,14832.67
2022-10-17,107.18,105.13,110.0,103.5,-0.2048,15168.26
2022-10-18,100.78,107.68,107.68,98.68,-5.9713,32001.09
2022-10-19,99.83,99.77,102.76,97.43,-0.9426,20942.43
2022-10-20,103.03,99.74,105.45,96.8,3.2054,30158.91
2022-10-21,101.61,103.0,103.0,98.98,-1.3782,13742.64
2022-10-24,103.64,102.19,105.79,102.19,1.9978,16657.62
2022-10-25,113.33,103.99,116.18,103.6,9.3497,37340.05
2022-10-26,116.0,111.85,117.57,110.86,2.356,29220.31
2022-10-27,106.0,117.36,117.4,106.0,-8.6207,30900.73
2022-10-28,97.3,87.55,102.0,87.55,-8.2075,46600.99
2022-10-31,97.0,95.2,100.5,95.2,-0.3083,20088.57
2022-11-01,94.1,96.09,97.45,91.09,-2.9897,19579.64
2022-11-02,100.66,93.8,102.25,92.71,6.9713,23570.81
2022-11-03,109.3,99.21,110.06,99.21,8.5833,19717.5
2022-11-04,116.4,111.3,116.89,108.5,6.4959,28311.43
2022-11-07,117.58,116.2,119.9,115.0,1.0137,27934.89
2022-11-08,116.02,119.3,119.3,114.58,-1.3268,12183.11
2022-11-09,115.6,114.64,117.95,114.58,-0.362,8684.37
2022-11-10,108.6,114.66,116.68,107.34,-6.0554,16337.3
2022-11-11,109.0,112.78,114.36,108.7,0.3683,12214.38
2022-11-14,102.85,110.1,110.63,101.0,-5.6422,16120.34
2022-11-15,112.49,101.19,113.88,100.33,9.3729,16949.68
2022-11-16,114.48,113.62,119.37,111.16,1.769,21803.31
2022-11-17,116.9,114.63,118.66,107.8,2.1139,21185.14
2022-11-18,112.2,117.25,118.88,112.06,-4.0205,13600.0
2022-11-21,112.11,112.2,114.58,109.67,-0.0802,9285.04
2022-11-22,113.69,112.0,114.95,108.62,1.4093,13786.51
2022-11-23,111.7,114.15,114.97,109.55,-1.7504,11879.65
2022-11-24,110.28,112.28,116.38,110.1,-1.2713,8538.45
2022-11-25,106.02,109.8,112.57,106.01,-3.8629,9416.56
2022-11-28,101.76,102.54,105.81,101.67,-4.0181,10986.51
2022-11-29,99.76,102.0,103.25,98.9,-1.9654,18648.83
2022-11-30,107.3,99.76,107.33,97.11,7.5581,22617.03
