date,close,open,high,low,pct_change
2020-08-18,148.0,150.0,174.0,143.0,284.1163
2020-08-19,146.99,149.0,157.0,136.0,-0.6824
2020-08-20,128.48,139.0,143.0,125.88,-12.5927
2020-08-21,130.22,128.53,138.0,124.0,1.3543
2020-08-24,131.71,126.0,136.6,122.22,1.1442
2020-08-25,119.8,129.56,133.5,115.33,-9.0426
2020-08-26,109.6,118.56,119.45,108.0,-8.5142
2020-08-27,114.72,109.99,119.9,106.68,4.6715
2020-08-28,118.19,113.01,120.2,111.02,3.0248
2020-08-31,119.98,117.25,125.5,117.25,1.5145
2020-09-01,114.0,119.0,119.89,112.85,-4.9842
2020-09-02,110.5,115.0,117.0,110.01,-3.0702
2020-09-03,120.78,110.85,122.88,108.05,9.3032
2020-09-04,122.05,119.05,128.0,119.0,1.0515
2020-09-07,102.8,119.6,123.81,98.22,-15.7722
2020-09-08,97.6,97.0,101.0,96.88,-5.0584
2020-09-09,97.88,97.0,101.49,94.0,0.2869
2020-09-10,91.08,99.74,100.53,89.0,-6.9473
2020-09-11,95.65,89.33,97.09,88.32,5.0176
2020-09-14,104.28,99.0,109.5,98.0,9.0225
2020-09-15,105.3,104.56,110.7,100.36,0.9781
2020-09-16,107.28,104.58,107.71,102.1,1.8803
2020-09-17,107.0,107.0,110.38,104.0,-0.261
2020-09-18,105.91,107.02,111.99,104.51,-1.0187
2020-09-21,104.82,104.5,107.77,103.02,-1.0292
2020-09-22,103.04,104.0,105.49,102.5,-1.6981
2020-09-23,105.55,104.45,109.16,103.0,2.4359
2020-09-24,103.13,105.04,105.92,102.5,-2.2928
2020-09-25,98.85,103.13,103.67,98.72,-4.1501
2020-09-28,91.2,95.95,97.86,91.2,-7.739
2020-09-29,94.4,93.22,97.4,93.0,3.5088
2020-09-30,92.5,94.79,95.24,91.95,-2.0127
2020-10-09,95.41,95.97,96.99,94.03,3.1459
2020-10-12,102.25,96.94,102.99,95.5,7.1691
2020-10-13,106.52,102.3,109.44,100.89,4.176
2020-10-14,103.99,106.89,107.0,102.0,-2.3751
2020-10-15,102.88,103.58,108.33,102.85,-1.0674
2020-10-16,100.2,103.92,105.21,97.91,-2.605
2020-10-19,97.12,102.26,102.43,96.0,-3.0739
2020-10-20,98.0,95.99,98.28,94.51,0.9061
2020-10-21,94.03,98.3,98.33,93.89,-4.051
2020-10-22,93.43,93.15,95.86,93.11,-0.6381
2020-10-23,88.0,93.9,94.92,86.5,-5.8118
2020-10-26,91.2,87.5,92.0,86.6,3.6364
2020-10-27,91.97,90.61,92.18,90.05,0.8443
2020-10-28,89.0,91.52,92.5,86.21,-3.2293
2020-10-29,86.0,88.0,88.37,83.5,-3.3708
2020-10-30,85.24,86.0,91.0,85.24,-0.8837
2020-11-02,85.8,86.1,87.78,82.58,0.657
2020-11-03,91.3,86.7,92.86,86.46,6.4103
2020-11-04,89.55,91.5,94.2,89.13,-1.9168
2020-11-05,92.17,92.0,93.26,90.01,2.9257
2020-11-06,91.43,92.17,93.88,90.5,-0.8029
2020-11-09,109.72,92.97,109.72,91.8,20.0044
2020-11-10,103.58,109.0,109.0,101.97,-5.5961
2020-11-11,101.18,101.42,105.96,99.5,-2.317
2020-11-12,99.6,102.98,103.97,97.67,-1.5616
2020-11-13,101.3,99.5,102.12,98.03,1.7068
2020-11-16,98.28,101.75,101.98,97.5,-2.9812
2020-11-17,95.98,98.46,98.47,92.6,-2.3403
2020-11-18,94.25,94.51,98.24,93.02,-1.8025
2020-11-19,93.8,94.0,96.7,92.05,-0.4775
2020-11-20,92.19,93.8,94.65,91.0,-1.7164
2020-11-23,90.68,93.0,93.0,89.0,-1.6379
2020-11-24,93.49,91.96,96.88,91.0,3.0988
2020-11-25,94.9,93.35,96.58,92.59,1.5082
2020-11-26,92.86,94.25,96.0,92.23,-2.1496
2020-11-27,94.15,92.8,94.83,91.1,1.3892
2020-11-30,96.52,95.0,99.76,94.61,2.5173
2020-12-01,98.0,97.0,100.97,96.38,1.5334
2020-12-02,100.06,98.0,100.99,96.3,2.102
2020-12-03,96.61,98.9,100.9,96.61,-3.4479
2020-12-04,92.67,96.01,97.0,92.65,-4.0783
2020-12-07,92.5,95.0,95.47,91.74,-0.1834
2020-12-08,93.76,93.39,94.67,92.51,1.3622
2020-12-09,91.36,94.0,94.0,91.0,-2.5597
2020-12-10,90.1,90.8,92.2,89.58,-1.3792
2020-12-11,91.0,90.35,92.65,88.88,0.9989
2020-12-14,91.97,90.9,92.6,89.01,1.0659
2020-12-15,90.14,91.88,93.3,89.5,-1.9898
2020-12-16,85.7,89.77,90.13,84.88,-4.9257
2020-12-17,87.0,85.98,87.8,83.79,1.5169
2020-12-18,86.21,90.1,90.23,85.8,-0.908
2020-12-21,87.2,85.37,89.48,85.19,1.1484
2020-12-22,83.0,86.66,87.54,82.79,-4.8165
2020-12-23,83.1,82.58,84.28,80.0,0.1205
2020-12-24,78.45,83.0,83.87,78.1,-5.5957
2020-12-25,76.1,78.48,78.85,75.5,-2.9955
2020-12-28,75.11,76.09,76.21,73.0,-1.3009
2020-12-29,76.52,75.99,77.66,74.3,1.8772
2020-12-30,77.99,76.25,80.17,74.65,1.9211
2020-12-31,80.58,78.75,82.88,77.59,3.3209
2021-01-04,77.71,80.99,81.0,77.15,-3.5617
2021-01-05,79.3,77.5,80.6,76.51,2.0461
2021-01-06,76.37,79.97,79.97,76.02,-3.6948
2021-01-07,71.01,75.68,76.99,70.9,-7.0185
2021-01-08,71.05,71.02,72.7,70.01,0.0563
2021-01-11,69.55,72.0,73.5,69.55,-2.1112
2021-01-12,69.37,69.0,69.96,67.88,-0.2588
2021-01-13,72.69,69.57,73.5,68.5,4.7859
2021-01-14,80.0,72.69,83.95,71.88,10.0564
2021-01-15,79.86,79.3,80.91,77.52,-0.175
2021-01-18,83.03,79.1,84.5,78.26,3.9694
2021-01-19,83.83,83.55,87.5,82.61,0.9635
2021-01-20,82.37,84.71,84.99,82.16,-1.7416
2021-01-21,84.1,82.37,86.85,82.01,2.1003
2021-01-22,85.7,84.66,86.99,83.1,1.9025
2021-01-25,89.28,84.83,92.8,83.0,4.1774
2021-01-26,85.7,89.27,89.27,85.0,-4.0099
2021-01-27,87.81,86.1,91.77,83.01,2.4621
2021-01-28,87.7,86.92,90.64,86.74,-0.1253
2021-01-29,82.2,87.73,89.57,82.19,-6.2714
2021-02-01,84.02,82.7,86.0,81.88,2.2141
2021-02-02,81.99,85.76,85.89,81.01,-2.4161
2021-02-03,80.34,82.38,85.53,80.0,-2.0124
2021-02-04,80.6,80.01,82.39,77.3,0.3236
2021-02-05,79.88,80.5,82.8,77.5,-0.8933
2021-02-08,80.36,81.58,83.4,79.43,0.6009
2021-02-09,76.1,80.98,81.77,75.58,-5.3011
2021-02-10,77.65,76.5,81.35,76.5,2.0368
